"ID" "IAB" "XL" "ZO" "D" "WSP" "Q" "QL" "QO"
 18293  1536     670.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18293  1535     600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18293  1534     400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18293  1533     200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18293  1532       0.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1531    2170.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1530    2000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1529    1800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1528    1600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1527    1400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1526    1200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1525    1000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1524     800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1523     600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1522     400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1521     200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1520       0.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1517    3350.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1516    3200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1515    3000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1514    2800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1513    2600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1512    2400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1511    2200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1510    2000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1509    1800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1508    1600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1507    1400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1506    1200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1505    1000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1504     800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1503     600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1502     400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1501     200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1500       0.0    130.00-NaN      -NaN      -NaN            0.00      0.00
  3715   682   14303.0    141.02      2.42    143.44     14.08      0.00      0.00
  3715   681   14267.0    141.02      2.42    143.44     14.08      0.00      0.00
  3715   680   14252.0    141.02      2.41    143.43     14.09      0.00      0.00
  3715   679   14209.0    140.93      2.50    143.43     14.09      0.00      0.00
  3715   678   14167.0    140.85      2.58    143.43     14.09      0.00      0.00
  3715   677   14124.0    140.76      2.67    143.43     14.10      0.00      0.00
  3715   676   14112.0    141.84      1.58    143.42     14.10      0.00      0.00
  3715   675   14063.0    141.24      2.17    143.42     14.10      0.00      0.00
  3715  3674   14044.0    141.01      2.40    143.42     14.11      0.00      0.00
  3715  2674   14024.0    140.77      2.65    143.42     14.11      0.00      0.00
  3715  1674   14015.0    140.66      2.75    143.42     14.11      0.00      0.00
  3715   674   14014.0    140.65      2.77    143.42     14.11      0.00      0.00
  3715  4673   14013.0    140.65      2.77    143.42     14.11      0.00      0.00
  3715  3673   14009.0    140.64      2.77    143.42     14.11      0.00      0.00
  3715  2673   14008.0    140.64      2.77    143.42     14.11      0.00      0.00
  3715  1673   14007.0    140.64      2.77    143.42     14.11      0.00      0.00
  3715   673   13974.0    140.60      2.81    143.41     14.11      0.00      0.00
  3715   672   13934.0    140.55      2.86    143.41     14.12      0.00      0.00
  3715   671   13896.0    141.49      1.92    143.41     14.12      0.00      0.00
  3715   670   13859.0    142.40      0.99    143.39     14.13      0.00      0.00
  3715   669   13817.0    142.34      1.03    143.37     14.13      0.00      0.00
  3715   668   13776.0    142.27      1.08    143.35     14.14      0.00      0.00
  3715   667   13735.0    142.21      1.13    143.34     14.14      0.00      0.00
  3715   666   13694.0    142.15      1.18    143.33     14.15      0.00      0.00
  3715   665   13653.0    142.08      1.23    143.32     14.15      0.00      0.00
  3715   664   13612.0    142.02      1.29    143.31     14.16      0.00      0.00
  3715   663   13570.0    142.01      1.29    143.30     14.16      0.00      0.00
  3715   662   13529.0    142.00      1.29    143.29     14.17      0.00      0.00
  3715   661   13488.0    141.99      1.29    143.28     14.18      0.00      0.00
  3715   660   13447.0    141.97      1.29    143.27     14.18      0.00      0.00
  3715   659   13406.0    141.96      1.29    143.26     14.19      0.00      0.00
  3715   658   13364.0    141.95      1.29    143.24     14.19      0.00      0.00
  3715   657   13323.0    141.90      1.32    143.23     14.20      0.00      0.00
  3715   656   13282.0    141.86      1.36    143.22     14.20      0.00      0.00
  3715   655   13241.0    141.81      1.40    143.21     14.20      0.00      0.00
  3715   654   13200.0    141.76      1.43    143.20     14.21      0.00      0.00
  3715   653   13159.0    141.72      1.47    143.19     14.21      0.00      0.00
  3715   652   13118.0    141.67      1.51    143.18     14.21      0.00      0.00
  3715   651   13064.0    141.69      1.48    143.17     14.22      0.00      0.00
  3715   650   13021.0    141.40      1.77    143.16     14.22      0.00      0.00
  3715   649   12978.0    141.11      2.05    143.16     14.22      0.00      0.00
  3715   648   12935.0    140.81      2.34    143.16     14.23      0.00      0.00
  3715   647   12892.0    140.52      2.63    143.16     14.23      0.00      0.00
  3715   646   12849.0    140.23      2.92    143.15     14.23      0.00      0.00
  3715   645   12812.0    140.14      3.01    143.15     14.24      0.00      0.00
  3715   644   12775.0    140.05      3.10    143.15     14.24      0.00      0.00
  3715   643   12738.0    139.95      3.19    143.15     14.24      0.00      0.00
  3715   642   12701.0    139.86      3.28    143.14     14.24      0.00      0.00
  3715   641   12664.0    139.77      3.37    143.14     14.24      0.00      0.00
  3715   640   12628.0    139.75      3.39    143.13     14.25      0.00      0.00
  3715  4640   12627.0    139.74      3.39    143.13     14.25      0.00      0.00
  3715  3640   12618.0    139.74      3.40    143.13     14.25      0.00      0.00
  3715  2640   12617.0    139.74      3.40    143.13     14.25      0.00      0.00
  3715  1640   12616.0    139.74      3.40    143.13     14.25      0.00      0.00
  3715   639   12591.0    139.72      3.41    143.13     14.25      0.00      0.00
  3715   638   12546.0    139.84      3.29    143.13     14.25      0.00      0.00
  3715   637   12502.0    139.96      3.17    143.13     14.25      0.00      0.00
  3715   636   12457.0    140.08      3.05    143.13     14.25      0.00      0.00
  3715   635   12413.0    140.20      2.93    143.13     14.26      0.00      0.00
  3715   634   12374.0    140.18      2.94    143.13     14.26      0.00      0.00
  3715   633   12336.0    140.17      2.96    143.13     14.26      0.00      0.00
  3715   632   12297.0    140.15      2.97    143.13     14.26      0.00      0.00
  3715   631   12258.0    140.14      2.99    143.13     14.26      0.00      0.00
  3715   630   12220.0    140.12      3.01    143.13     14.27      0.00      0.00
  3715   629   12180.0    140.08      3.05    143.12     14.27      0.00      0.00
  3715   628   12141.0    140.04      3.09    143.12     14.27      0.00      0.00
  3715   627   12102.0    139.99      3.13    143.12     14.27      0.00      0.00
  3715   626   12063.0    139.95      3.17    143.12     14.27      0.00      0.00
  3715   625   12024.0    139.91      3.21    143.12     14.28      0.00      0.00
  3715   624   11989.0    139.86      3.26    143.12     14.28      0.00      0.00
  3715   623   11954.0    139.82      3.31    143.12     14.28      0.00      0.00
  3715   622   11919.0    139.77      3.35    143.12     14.28      0.00      0.00
  3715   621   11884.0    139.72      3.40    143.12     14.28      0.00      0.00
  3715   620   11846.0    139.59      3.53    143.12     14.29      0.00      0.00
  3715   619   11809.0    139.46      3.65    143.12     14.29      0.00      0.00
  3715   618   11771.0    139.34      3.78    143.12     14.29      0.00      0.00
  3715   617   11734.0    139.21      3.91    143.12     14.29      0.00      0.00
  3715   616   11696.0    139.08      4.04    143.12     14.29      0.00      0.00
  3715   615   11659.0    139.05      4.07    143.12     14.30      0.00      0.00
  3715   614   11621.0    139.02      4.10    143.12     14.30      0.00      0.00
  3715   613   11583.0    138.99      4.13    143.12     14.30      0.00      0.00
  3715   612   11546.0    138.96      4.16    143.12     14.30      0.00      0.00
  3715   611   11508.0    138.93      4.19    143.12     14.31      0.00      0.00
  3715   610   11462.0    139.07      4.05    143.12     14.31      0.00      0.00
  3715   609   11416.0    139.20      3.91    143.12     14.31      0.00      0.00
  3715   608   11370.0    139.34      3.78    143.12     14.31      0.00      0.00
  3715   607   11325.0    139.09      4.02    143.11     14.32      0.00      0.00
  3715   606   11281.0    138.85      4.26    143.11     14.32      0.00      0.00
  3715   605   11280.0    138.85      4.26    143.11     14.32      0.00      0.00
  3715   604   11273.0    138.85      4.26    143.11     14.32      0.00      0.00
  3715   603   11270.0    138.85      4.26    143.11     14.32      0.00      0.00
  3715   602   11230.0    139.05      4.07    143.11     14.32      0.00      0.00
  3715   601   11191.0    139.24      3.87    143.11     14.33      0.00      0.00
  3715   600   11154.0    139.31      3.80    143.11     14.33      0.00      0.00
  3715   599   11117.0    139.39      3.73    143.11     14.33      0.00      0.00
  3715   598   11080.0    139.46      3.65    143.11     14.33      0.00      0.00
  3715   597   11043.0    139.54      3.58    143.11     14.34      0.00      0.00
  3715   596   11006.0    139.61      3.50    143.11     14.34      0.00      0.00
  3715   595   10966.0    139.53      3.58    143.11     14.34      0.00      0.00
  3715   594   10926.0    139.45      3.67    143.11     14.35      0.00      0.00
  3715   593   10886.0    139.37      3.75    143.11     14.35      0.00      0.00
  3715   592   10845.0    139.28      3.83    143.11     14.35      0.00      0.00
  3715   591   10805.0    139.20      3.91    143.11     14.36      0.00      0.00
  3715   590   10761.0    139.10      4.02    143.12     14.36      0.00      0.00
  3715   589   10717.0    139.00      4.11    143.12     14.36      0.00      0.00
  3715   588   10674.0    138.91      4.21    143.12     14.36      0.00      0.00
  3715   587   10630.0    138.81      4.31    143.12     14.37      0.00      0.00
  3715  8586   10580.0    139.65      3.47    143.12     14.37      0.00      0.00
  3715   586   10575.0    139.73      3.39    143.12     14.37      0.00      0.00
  3715  9586   10570.0    136.10      1.62    137.72     14.37      0.00      0.00
  3715   585   10564.0    135.83      1.89    137.72     14.37      0.00      0.00
  3715   584   10563.0    135.81      1.91    137.72     14.37      0.00      0.00
  3715   583   10554.0    135.81      1.91    137.72     14.37      0.00      0.00
  3715   582   10550.0    135.83      1.89    137.72     14.37      0.00      0.00
  3715   581   10510.0    135.11      2.62    137.72     14.38      0.00      0.00
  3715   580   10470.0    134.38      3.34    137.72     14.38      0.00      0.00
  3715   579   10421.0    135.12      2.60    137.72     14.39      0.00      0.00
  3715   578   10373.0    135.84      1.87    137.71     14.39      0.00      0.00
  3715   577   10339.0    135.98      1.72    137.70     14.39      0.00      0.00
  3715   576   10305.0    136.12      1.58    137.70     14.40      0.00      0.00
  3715   575   10270.0    136.26      1.42    137.68     14.40      0.00      0.00
  3715   574   10236.0    135.85      1.83    137.68     14.40      0.00      0.00
  3715   573   10202.0    135.43      2.25    137.68     14.41      0.00      0.00
  3715   572   10167.0    135.01      2.67    137.68     14.41      0.00      0.00
  3715   571   10121.0    134.94      2.74    137.68     14.42      0.00      0.00
  3715   570   10074.0    134.87      2.81    137.68     14.42      0.00      0.00
  3715   569   10071.0    134.87      2.81    137.68     14.42      0.00      0.00
  3715   568   10070.0    134.87      2.81    137.68     14.42      0.00      0.00
  3715   567   10067.0    134.87      2.81    137.68     14.42      0.00      0.00
  3715   566   10036.0    134.77      2.91    137.67     14.42      0.00      0.00
  3715   565   10004.0    134.66      3.01    137.67     14.43      0.00      0.00
  3715   564    9961.0    135.15      2.52    137.67     14.43      0.00      0.00
  3715   563    9919.0    135.63      2.04    137.67     14.44      0.00      0.00
  3715   562    9876.0    136.12      1.54    137.66     14.44      0.00      0.00
  3715   561    9835.0    136.15      1.51    137.65     14.44      0.00      0.00
  3715   560    9793.0    136.17      1.48    137.65     14.45      0.00      0.00
  3715   559    9752.0    136.20      1.44    137.64     14.45      0.00      0.00
  3715   558    9710.0    136.22      1.41    137.64     14.45      0.00      0.00
  3715   557    9669.0    136.25      1.38    137.63     14.46      0.00      0.00
  3715   556    9627.0    136.26      1.36    137.62     14.46      0.00      0.00
  3715   555    9586.0    136.28      1.33    137.61     14.47      0.00      0.00
  3715   554    9545.0    136.29      1.31    137.60     14.47      0.00      0.00
  3715   553    9504.0    136.30      1.29    137.59     14.47      0.00      0.00
  3715   552    9463.0    136.32      1.26    137.58     14.48      0.00      0.00
  3715   551    9422.0    136.33      1.24    137.57     14.48      0.00      0.00
  3715   550    9385.0    136.29      1.27    137.56     14.48      0.00      0.00
  3715   549    9348.0    136.25      1.30    137.55     14.49      0.00      0.00
  3715   548    9311.0    136.22      1.32    137.54     14.49      0.00      0.00
  3715   547    9274.0    136.18      1.35    137.53     14.49      0.00      0.00
  3715   546    9237.0    136.14      1.38    137.52     14.50      0.00      0.00
  3715   545    9194.0    136.05      1.47    137.52     14.50      0.00      0.00
  3715   544    9152.0    135.96      1.55    137.51     14.50      0.00      0.00
  3715   543    9110.0    135.87      1.63    137.50     14.51      0.00      0.00
  3715   542    9067.0    135.78      1.72    137.50     14.51      0.00      0.00
  3715   541    9025.0    135.76      1.73    137.49     14.52      0.00      0.00
  3715   540    8983.0    135.75      1.74    137.49     14.52      0.00      0.00
  3715   539    8941.0    135.74      1.75    137.48     14.52      0.00      0.00
  3715   538    8899.0    135.72      1.75    137.47     14.53      0.00      0.00
  3715   537    8857.0    135.71      1.76    137.47     14.53      0.00      0.00
  3715   536    8815.0    135.69      1.77    137.46     14.53      0.00      0.00
  3715   535    8777.0    135.73      1.73    137.45     14.54      0.00      0.00
  3715   534    8739.0    135.76      1.68    137.45     14.54      0.00      0.00
  3715   533    8701.0    135.80      1.64    137.44     14.54      0.00      0.00
  3715   532    8663.0    135.84      1.60    137.44     14.55      0.00      0.00
  3715   531    8621.0    135.85      1.58    137.43     14.55      0.00      0.00
  3715   530    8580.0    135.86      1.56    137.42     14.55      0.00      0.00
  3715   529    8538.0    135.87      1.55    137.42     14.56      0.00      0.00
  3715   528    8496.0    135.88      1.53    137.41     14.56      0.00      0.00
  3715   527    8454.0    135.89      1.51    137.40     14.56      0.00      0.00
  3715   526    8412.0    135.90      1.49    137.39     14.57      0.00      0.00
  3715   525    8368.0    135.76      1.61    137.38     14.57      0.00      0.00
  3715   524    8325.0    135.63      1.74    137.37     14.57      0.00      0.00
  3715   523    8282.0    135.49      1.87    137.36     14.58      0.00      0.00
  3715   522    8239.0    135.36      2.00    137.36     14.58      0.00      0.00
  3715   521    8200.0    135.35      2.01    137.36     14.58      0.00      0.00
  3715   520    8161.0    135.34      2.01    137.35     14.58      0.00      0.00
  3715   519    8123.0    135.33      2.02    137.35     14.59      0.00      0.00
  3715   518    8084.0    135.32      2.02    137.34     14.59      0.00      0.00
  3715   517    8045.0    135.31      2.03    137.34     14.59      0.00      0.00
  3715   516    8009.0    135.28      2.06    137.33     14.59      0.00      0.00
  3715   515    7972.0    135.25      2.08    137.33     14.60      0.00      0.00
  3715   514    7936.0    135.21      2.11    137.33     14.60      0.00      0.00
  3715   513    7899.0    135.18      2.14    137.32     14.60      0.00      0.00
  3715   512    7863.0    135.15      2.17    137.32     14.60      0.00      0.00
  3715   511    7826.0    135.21      2.10    137.32     14.61      0.00      0.00
  3715   510    7789.0    135.28      2.04    137.31     14.61      0.00      0.00
  3715   509    7752.0    135.34      1.97    137.31     14.61      0.00      0.00
  3715   508    7715.0    135.40      1.90    137.31     14.62      0.00      0.00
  3715   507    7678.0    135.47      1.84    137.30     14.62      0.00      0.00
  3715   506    7641.0    135.53      1.77    137.30     14.62      0.00      0.00
  3715   505    7599.0    135.45      1.85    137.30     14.63      0.00      0.00
  3715   504    7558.0    135.37      1.93    137.29     14.63      0.00      0.00
  3715   503    7517.0    135.29      2.00    137.29     14.63      0.00      0.00
