"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    16.864   149.863   229.892    83.873     5.812    85.990     2.673       754
    16.864   150.001   241.506    84.674     5.812    86.838     2.781       754
    16.864   150.139   253.230    85.475     5.812    87.685     2.888       754
    16.864   150.277   265.065    86.274     5.805    88.532     2.994       754
    16.864   150.415   277.009    87.074     5.802    89.378     3.099       754
    16.864   150.552   289.064    87.874     5.803    90.225     3.204       754
    16.864   150.690   301.229    88.673     5.802    91.071     3.308       754
    16.864   150.828   313.504    89.473     5.802    91.917     3.411       754
    16.864   150.966   325.890    90.273     5.803    92.764     3.513       754
    16.864   151.104   338.385    91.072     5.802    93.610     3.615       754
    16.864   151.241   350.991    91.870     5.790    94.455     3.716       754
    16.864   151.379   363.820    94.747    20.873    97.360     3.737       754
    16.864   151.517   376.909    95.203     3.306    97.974     3.847       754
    16.864   151.655   390.060    95.642     3.187    98.572     3.957       754
    16.864   151.793   403.270    96.081     3.188    99.170     4.066       754
    16.864   151.931   416.699    99.380    23.937   102.644     4.060       754
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    16.708   143.820     0.207     2.775     0.000     2.794     0.074       750
    16.708   143.971     0.831     5.524    11.791     5.561     0.149       750
    16.708   144.121     1.823     7.572    13.611     7.631     0.239       750
    16.708   144.272     3.110     9.623    13.639     9.706     0.320       750
    16.708   144.422     4.733    11.953    15.490    12.057     0.393       750
    16.708   144.572     6.706    14.264    15.366    14.390     0.466       750
    16.708   144.723     9.009    16.366    13.970    16.517     0.545       750
    16.708   144.873    11.591    17.655     8.573    17.860     0.649       750
    16.708   145.024    14.306    18.448     5.269    18.722     0.764       750
    16.708   145.174    17.141    19.240     5.270    19.585     0.875       750
    16.708   145.325    20.083    19.772     3.534    20.214     0.994       750
    16.708   145.475    23.082    20.100     2.183    20.661     1.117       750
    16.708   145.625    26.130    20.429     2.182    21.108     1.238       750
    16.708   145.776    29.228    20.757     2.183    21.556     1.356       750
    16.708   145.926    32.398    21.697     6.251    22.575     1.435       750
    16.708   146.077    35.731    22.440     4.936    23.392     1.527       750
    16.708   146.227    39.145    22.958     3.447    23.992     1.632       750
    16.708   146.377    42.637    23.491     3.543    24.606     1.733       750
    16.708   146.528    46.214    24.067     3.830    25.259     1.830       750
    16.708   146.678    49.877    24.643     3.830    25.912     1.925       750
    16.708   146.829    53.627    25.219     3.830    26.565     2.019       750
    16.708   146.979    57.464    25.795     3.830    27.218     2.111       750
    16.708   147.130    61.556    29.758    26.348    31.228     1.971       750
    16.708   147.280    67.056    36.751    46.488    36.751     1.825       750
    16.708   147.430    74.699    46.513    16.901    46.513     1.606       750
    16.708   147.581    83.763    57.967     8.846    57.967     1.445       750
    16.708   147.731    93.817    70.152    45.150    70.152     1.337       750
    16.708   147.882   104.647    72.367    10.280    73.957     1.415       750
    16.708   148.032   115.785    74.843    16.458    76.479     1.514       750
    16.708   148.182   127.108    75.716     5.804    77.403     1.642       750
    16.708   148.333   138.562    76.589     5.805    78.327     1.769       750
    16.708   148.483   150.148    77.464     5.817    79.252     1.895       750
    16.708   148.634   161.865    78.339     5.821    80.178     2.019       750
    16.708   148.784   173.714    79.215     5.821    81.104     2.142       750
    16.708   148.934   185.695    80.091     5.821    82.031     2.264       750
    16.708   149.085   197.808    80.966     5.821    82.957     2.384       750
    16.708   149.235   210.052    81.842     5.821    83.883     2.504       750
    16.708   149.386   222.428    82.717     5.821    84.809     2.623       750
    16.708   149.536   234.936    83.593     5.821    85.735     2.740       750
    16.708   149.687   247.566    84.226     4.206    86.483     2.863       750
    16.708   149.837   260.265    84.624     2.648    87.059     2.990       750
    16.708   149.987   273.023    85.022     2.647    87.636     3.115       750
    16.708   150.138   285.841    85.420     2.648    88.212     3.240       750
    16.708   150.288   298.720    85.818     2.647    88.788     3.364       750
    16.708   150.439   311.658    86.217     2.648    89.364     3.488       750
    16.708   150.589   324.656    86.615     2.647    89.940     3.610       750
    16.708   150.739   337.714    87.013     2.648    90.516     3.731       750
    16.708   150.890   350.832    87.411     2.647    91.092     3.851       750
    16.708   151.040   364.010    87.810     2.647    91.668     3.971       750
    16.708   151.191   377.403    92.510    31.252    96.569     3.908       750
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    16.624   143.975     0.275     3.196     0.000     3.218     0.086       748
    16.624   144.151     1.116     6.389    12.233     6.431     0.174       748
    16.624   144.326     2.468     8.929    14.480     8.996     0.274       748
    16.624   144.502     4.246    11.342    13.754    11.434     0.371       748
    16.624   144.677     6.447    13.754    13.753    13.873     0.465       748
    16.624   144.852     9.071    16.154    13.684    16.299     0.557       748
    16.624   145.028    12.101    18.394    12.770    18.566     0.652       748
    16.624   145.203    15.497    20.136     9.928    20.353     0.761       748
    16.624   145.379    19.088    20.808     3.833    21.115     0.904       748
    16.624   145.554    22.797    21.480     3.833    21.876     1.042       748
    16.624   145.729    26.622    22.083     3.436    22.579     1.179       748
    16.624   145.905    30.538    22.591     2.898    23.203     1.316       748
    16.624   146.080    34.548    23.130     3.069    23.852     1.448       748
    16.624   146.256    38.745    24.415     7.328    25.215     1.537       748
    16.624   146.431    43.089    25.120     4.018    26.002     1.657       748
    16.624   146.607    47.558    25.873     4.293    26.836     1.772       748
    16.624   146.782    52.236    27.312     8.204    28.349     1.843       748
    16.624   146.957    57.229    30.114    15.975    31.185     1.835       748
    16.624   147.133    64.210    40.854    61.233    40.854     1.572       748
    16.624   147.308    74.379    57.245    31.851    57.245     1.299       748
    16.624   147.484    86.743    75.681    64.937    76.777     1.130       748
    16.624   147.659   100.252    77.449    10.082    78.628     1.275       748
    16.624   147.834   113.892    78.068     3.531    79.340     1.435       748
    16.624   148.010   127.640    78.688     3.532    80.052     1.594       748
    16.624   148.185   141.497    79.307     3.531    80.764     1.752       748
    16.624   148.361   155.462    79.927     3.532    81.476     1.908       748
    16.624   148.536   169.536    80.546     3.529    82.188     2.063       748
    16.624   148.711   183.719    81.165     3.527    82.899     2.216       748
    16.624   148.887   198.010    81.783     3.527    83.611     2.368       748
    16.624   149.062   212.409    82.402     3.527    84.322     2.519       748
    16.624   149.238   226.917    83.021     3.527    85.033     2.669       748
    16.624   149.413   241.534    83.639     3.527    85.745     2.817       748
    16.624   149.588   256.259    84.258     3.527    86.456     2.964       748
    16.624   149.764   271.093    84.877     3.527    87.167     3.110       748
    16.624   149.939   286.035    85.496     3.531    87.879     3.255       748
    16.624   150.115   301.086    86.116     3.534    88.592     3.399       748
    16.624   150.290   316.246    86.736     3.535    89.304     3.541       748
    16.624   150.465   331.514    87.356     3.534    90.017     3.683       748
    16.624   150.641   346.892    87.976     3.535    90.729     3.823       748
    16.624   150.816   362.377    88.596     3.534    91.442     3.963       748
    16.624   150.992   377.972    89.216     3.535    92.154     4.102       748
    16.624   151.167   393.676    89.836     3.534    92.867     4.239       748
    16.624   151.342   409.488    90.456     3.535    93.579     4.376       748
    16.624   151.518   425.409    91.076     3.535    94.292     4.512       748
    16.624   151.693   441.439    91.696     3.534    95.004     4.647       748
    16.624   151.869   457.577    92.316     3.535    95.716     4.781       748
    16.624   152.044   473.824    92.936     3.534    96.429     4.914       748
    16.624   152.220   490.180    93.556     3.535    97.141     5.046       748
    16.624   152.395   506.645    94.176     3.534    97.854     5.178       748
    16.624   152.570   523.209    94.570     2.247    98.436     5.315       748
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    16.623   143.981     0.296     3.286     0.000     3.305     0.090       747
    16.623   144.161     1.187     6.578    10.464     6.618     0.179       747
    16.623   144.342     2.613     9.138    14.174     9.204     0.284       747
    16.623   144.522     4.487    11.616    13.721    11.709     0.383       747
    16.623   144.703     6.809    14.094    13.721    14.214     0.479       747
    16.623   144.884     9.577    16.529    13.482    16.676     0.574       747
    16.623   145.064    12.770    18.829    12.736    19.005     0.672       747
    16.623   145.245    16.320    20.221     7.707    20.462     0.798       747
    16.623   145.425    20.029    20.848     3.472    21.189     0.945       747
    16.623   145.606    23.851    21.476     3.472    21.916     1.088       747
    16.623   145.787    27.786    22.103     3.472    22.642     1.227       747
    16.623   145.967    31.833    22.712     3.375    23.353     1.363       747
    16.623   146.148    35.997    23.582     4.814    24.313     1.481       747
    16.623   146.328    40.322    24.307     4.018    25.124     1.605       747
    16.623   146.509    44.778    25.033     4.018    25.934     1.727       747
    16.623   146.690    49.387    26.049     5.627    27.057     1.825       747
    16.623   146.870    54.092    26.225     0.970    27.603     1.960       747
    16.623   147.051    59.343    37.549    62.702    39.515     1.502       747
    16.623   147.232    68.104    55.766   100.869    58.459     1.165       747
    16.623   147.412    79.324    68.479    70.387    71.900     1.103       747
    16.623   147.593    92.400    73.912    30.080    78.107     1.183       747
    16.623   147.773   105.813    74.622     3.929    79.627     1.329       747
    16.623   147.954   119.354    75.331     3.929    81.147     1.471       747
    16.623   148.135   133.024    76.041     3.929    82.667     1.609       747
    16.623   148.315   146.821    76.750     3.929    84.187     1.744       747
    16.623   148.496   160.745    77.382     3.499    85.662     1.876       747
    16.623   148.676   174.757    77.785     2.230    87.007     2.009       747
    16.623   148.857   188.842    78.188     2.230    88.351     2.137       747
    16.623   149.038   203.000    78.591     2.230    89.696     2.263       747
    16.623   149.218   217.230    78.993     2.230    91.040     2.386       747
    16.623   149.399   231.533    79.396     2.230    92.385     2.506       747
    16.623   149.579   245.909    79.799     2.230    93.729     2.624       747
    16.623   149.760   260.357    80.202     2.230    95.073     2.738       747
    16.623   149.941   274.867    80.380     0.988    96.273     2.855       747
    16.623   150.121   289.384    80.380     0.000    97.356     2.972       747
    16.623   150.302   303.902    80.380     0.000    98.440     3.087       747
    16.623   150.482   318.419    80.380     0.000    99.523     3.199       747
    16.623   150.663   332.936    80.380     0.000   100.607     3.309       747
    16.623   150.844   347.453    80.380     0.000   101.691     3.417       747
    16.623   151.024   361.970    80.380     0.000   102.774     3.522       747
    16.623   151.205   376.485    79.407    -5.389   104.826     3.592       747
    16.623   151.385   384.565     0.100  -439.122   189.651     2.028       747
    16.623   151.566   384.583     0.100     0.000   190.012     2.024       747
    16.623   151.747   384.601     0.100     0.000   190.373     2.020       747
    16.623   151.927   384.619     0.100     0.000   190.734     2.017       747
    16.623   152.108   384.637     0.100     0.000   191.095     2.013       747
    16.623   152.288   384.655     0.100     0.000   191.457     2.009       747
    16.623   152.469   387.008    28.155   155.326   220.229     1.757       747
    16.623   152.650   394.776    58.624   168.708   251.427     1.570       747
    16.623   152.830   410.972   123.390   358.610   316.776     1.297       747
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    16.614   143.981     0.296     3.286     0.000     3.305     0.090       746
    16.614   144.161     1.187     6.578    13.475     6.618     0.179       746
    16.614   144.342     2.613     9.138    14.174     9.204     0.284       746
    16.614   144.522     4.487    11.616    13.721    11.709     0.383       746
    16.614   144.703     6.809    14.094    13.721    14.214     0.479       746
    16.614   144.884     9.577    16.529    13.482    16.676     0.574       746
    16.614   145.064    12.770    18.829    12.736    19.005     0.672       746
    16.614   145.245    16.320    20.221     7.707    20.462     0.798       746
    16.614   145.425    20.029    20.848     3.472    21.189     0.945       746
    16.614   145.606    23.851    21.476     3.472    21.916     1.088       746
    16.614   145.787    27.786    22.103     3.472    22.642     1.227       746
    16.614   145.967    31.833    22.712     3.375    23.353     1.363       746
    16.614   146.148    35.997    23.582     4.814    24.313     1.481       746
    16.614   146.328    40.322    24.307     4.018    25.124     1.605       746
    16.614   146.509    44.778    25.033     4.018    25.934     1.727       746
    16.614   146.690    49.387    26.049     5.627    27.057     1.825       746
    16.614   146.870    54.092    26.225     0.970    27.603     1.960       746
    16.614   147.051    59.343    37.549    62.702    39.515     1.502       746
    16.614   147.232    68.104    55.766   100.869    58.459     1.165       746
    16.614   147.412    79.324    68.479    70.387    71.900     1.103       746
    16.614   147.593    92.400    73.912    30.080    78.107     1.183       746
    16.614   147.773   105.813    74.622     3.929    79.627     1.329       746
    16.614   147.954   119.354    75.331     3.929    81.147     1.471       746
    16.614   148.135   133.024    76.041     3.929    82.667     1.609       746
    16.614   148.315   146.821    76.750     3.929    84.187     1.744       746
    16.614   148.496   160.745    77.382     3.499    85.662     1.876       746
    16.614   148.676   174.757    77.785     2.230    87.007     2.009       746
    16.614   148.857   188.842    78.188     2.230    88.351     2.137       746
    16.614   149.038   203.000    78.591     2.230    89.696     2.263       746
    16.614   149.218   217.230    78.993     2.230    91.040     2.386       746
    16.614   149.399   231.533    79.396     2.230    92.385     2.506       746
    16.614   149.579   245.909    79.799     2.230    93.729     2.624       746
    16.614   149.760   260.357    80.202     2.230    95.073     2.738       746
    16.614   149.941   274.867    80.380     0.988    96.273     2.855       746
    16.614   150.121   289.384    80.380     0.000    97.356     2.972       746
    16.614   150.302   303.902    80.380     0.000    98.440     3.087       746
    16.614   150.482   318.419    80.380     0.000    99.523     3.199       746
    16.614   150.663   332.936    80.380     0.000   100.607     3.309       746
    16.614   150.844   347.453    80.380     0.000   101.691     3.417       746
    16.614   151.024   361.970    80.380     0.000   102.774     3.522       746
    16.614   151.205   376.485    79.407    -5.389   104.826     3.592       746
    16.614   151.385   384.565     0.100  -439.122   189.651     2.028       746
    16.614   151.566   384.583     0.100     0.000   190.012     2.024       746
    16.614   151.747   384.601     0.100     0.000   190.373     2.020       746
    16.614   151.927   384.619     0.100     0.000   190.734     2.017       746
    16.614   152.108   384.637     0.100     0.000   191.095     2.013       746
    16.614   152.288   384.655     0.100     0.000   191.457     2.009       746
    16.614   152.469   387.008    28.155   155.326   220.229     1.757       746
    16.614   152.650   394.776    58.624   168.708   251.427     1.570       746
    16.614   152.830   410.972   123.390   358.610   316.776     1.297       746
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    16.609   143.975     0.275     3.196     0.000     3.218     0.086       745
    16.609   144.151     1.116     6.389    13.480     6.431     0.174       745
    16.609   144.326     2.468     8.929    14.480     8.996     0.274       745
    16.609   144.502     4.246    11.342    13.754    11.434     0.371       745
    16.609   144.677     6.447    13.754    13.753    13.873     0.465       745
    16.609   144.852     9.071    16.154    13.684    16.299     0.557       745
    16.609   145.028    12.101    18.394    12.770    18.566     0.652       745
    16.609   145.203    15.497    20.136     9.928    20.353     0.761       745
    16.609   145.379    19.088    20.808     3.833    21.115     0.904       745
    16.609   145.554    22.797    21.480     3.833    21.876     1.042       745
    16.609   145.729    26.622    22.083     3.436    22.579     1.179       745
    16.609   145.905    30.538    22.591     2.898    23.203     1.316       745
    16.609   146.080    34.548    23.130     3.069    23.852     1.448       745
    16.609   146.256    38.745    24.415     7.328    25.215     1.537       745
    16.609   146.431    43.089    25.120     4.018    26.002     1.657       745
    16.609   146.607    47.558    25.873     4.293    26.836     1.772       745
    16.609   146.782    52.236    27.312     8.204    28.349     1.843       745
    16.609   146.957    57.229    30.114    15.975    31.185     1.835       745
    16.609   147.133    64.210    40.854    61.233    40.854     1.572       745
    16.609   147.308    74.379    57.245    31.851    57.245     1.299       745
    16.609   147.484    86.743    75.681    64.937    76.777     1.130       745
    16.609   147.659   100.252    77.449    10.082    78.628     1.275       745
    16.609   147.834   113.892    78.068     3.531    79.340     1.435       745
    16.609   148.010   127.640    78.688     3.532    80.052     1.594       745
    16.609   148.185   141.497    79.307     3.531    80.764     1.752       745
