"ZEIT[H]" "K1186" "K1168" "K1115" "K1014" "K1000" "K1174" "K1170" "K1141" "K1106" "K1182" "K1156" "K1173" "K 586" "K 585" "K 460" "K 459"
 41408.250 136.519 136.085 135.320 135.021 135.011 136.227 136.116 135.603 135.264 136.501 135.840 136.173 143.138 137.788 137.241 135.486
 41408.271 136.500 136.075 135.317 135.023 135.012 136.214 136.105 135.598 135.262 136.486 135.832 136.161 143.138 137.788 137.241 135.487
 41408.292 136.477 136.058 135.311 135.024 135.014 136.196 136.087 135.587 135.256 136.465 135.818 136.143 143.138 137.788 137.241 135.483
 41408.312 136.453 136.040 135.304 135.025 135.016 136.176 136.069 135.577 135.251 136.443 135.804 136.124 143.138 137.788 137.241 135.477
 41408.333 136.430 136.024 135.300 135.027 135.018 136.158 136.052 135.568 135.247 136.422 135.791 136.107 143.138 137.788 137.241 135.472
 41408.354 136.409 136.010 135.296 135.028 135.019 136.141 136.038 135.560 135.244 136.403 135.780 136.091 143.138 137.788 137.241 135.468
 41408.375 136.395 136.000 135.294 135.027 135.018 136.130 136.028 135.554 135.242 136.390 135.773 136.081 143.138 137.788 137.241 135.465
 41408.396 136.389 135.996 135.291 135.024 135.015 136.126 136.024 135.551 135.240 136.384 135.769 136.076 143.138 137.788 137.241 135.462
 41408.417 136.384 135.993 135.289 135.021 135.012 136.122 136.020 135.549 135.237 136.379 135.766 136.073 143.138 137.788 137.241 135.460
 41408.437 136.378 135.989 135.287 135.017 135.008 136.118 136.016 135.546 135.235 136.374 135.763 136.069 143.138 137.788 137.241 135.458
 41408.458 136.373 135.985 135.285 135.014 135.005 136.114 136.013 135.543 135.233 136.369 135.760 136.065 143.138 137.788 137.241 135.456
 41408.479 136.368 135.982 135.283 135.012 135.002 136.110 136.009 135.541 135.230 136.364 135.757 136.061 143.138 137.788 137.241 135.455
 41408.500 136.365 135.980 135.282 135.013 135.003 136.108 136.007 135.539 135.230 136.361 135.755 136.059 143.138 137.788 137.241 135.453
 41408.521 136.365 135.980 135.284 135.019 135.010 136.108 136.008 135.540 135.232 136.362 135.756 136.060 143.138 137.788 137.241 135.453
 41408.542 136.367 135.982 135.287 135.025 135.017 136.110 136.009 135.543 135.236 136.363 135.757 136.061 143.138 137.788 137.241 135.455
 41408.562 136.368 135.983 135.290 135.032 135.023 136.111 136.011 135.545 135.240 136.364 135.759 136.063 143.138 137.788 137.241 135.458
 41408.583 136.370 135.985 135.295 135.039 135.030 136.113 136.013 135.548 135.246 136.366 135.762 136.064 143.138 137.788 137.241 135.461
 41408.604 136.372 135.988 135.302 135.045 135.037 136.116 136.015 135.553 135.254 136.369 135.765 136.067 143.138 137.788 137.241 135.465
 41408.625 136.376 135.992 135.311 135.048 135.039 136.119 136.019 135.559 135.264 136.372 135.770 136.071 143.138 137.788 137.241 135.472
 41408.646 136.381 135.996 135.316 135.047 135.038 136.123 136.023 135.564 135.268 136.377 135.775 136.075 143.138 137.788 137.241 135.478
 41408.667 136.384 135.999 135.316 135.045 135.036 136.126 136.026 135.565 135.268 136.380 135.776 136.077 143.138 137.788 137.241 135.481
 41408.687 136.386 135.999 135.314 135.043 135.034 136.127 136.026 135.564 135.266 136.382 135.777 136.078 143.138 137.788 137.241 135.480
 41408.708 136.388 136.000 135.312 135.042 135.033 136.128 136.027 135.564 135.263 136.383 135.776 136.079 143.138 137.788 137.241 135.478
 41408.729 136.389 136.000 135.310 135.040 135.031 136.128 136.027 135.563 135.261 136.384 135.776 136.079 143.138 137.788 137.241 135.477
 41408.750 136.395 136.003 135.309 135.038 135.029 136.132 136.030 135.563 135.260 136.390 135.778 136.083 143.138 137.788 137.241 135.475
 41408.771 136.407 136.010 135.310 135.037 135.027 136.140 136.037 135.567 135.261 136.400 135.783 136.090 143.138 137.788 137.241 135.475
 41408.792 136.420 136.018 135.313 135.035 135.026 136.150 136.046 135.572 135.263 136.412 135.790 136.099 143.138 137.788 137.241 135.477
 41408.812 136.433 136.027 135.316 135.034 135.024 136.160 136.055 135.577 135.265 136.423 135.797 136.109 143.138 137.788 137.241 135.480
 41408.833 136.446 136.036 135.318 135.032 135.022 136.170 136.064 135.582 135.267 136.435 135.804 136.119 143.138 137.788 137.241 135.482
 41408.854 136.459 136.045 135.320 135.031 135.021 136.180 136.074 135.587 135.268 136.448 135.811 136.129 143.138 137.788 137.241 135.484
 41408.875 136.468 136.052 135.322 135.032 135.022 136.188 136.081 135.591 135.270 136.456 135.816 136.136 143.138 137.788 137.241 135.486
 41408.896 136.471 136.055 135.325 135.035 135.025 136.191 136.084 135.593 135.273 136.458 135.819 136.139 143.138 137.788 137.241 135.488
 41408.917 136.473 136.057 135.329 135.038 135.028 136.193 136.086 135.597 135.277 136.460 135.822 136.142 143.138 137.788 137.241 135.491
 41408.937 136.476 136.061 135.335 135.041 135.032 136.197 136.090 135.601 135.283 136.463 135.826 136.145 143.138 137.788 137.241 135.495
 41408.958 136.479 136.065 135.340 135.045 135.035 136.201 136.094 135.607 135.288 136.467 135.831 136.149 143.138 137.788 137.241 135.499
 41408.979 136.483 136.070 135.346 135.048 135.038 136.205 136.099 135.612 135.293 136.470 135.836 136.154 143.138 137.788 137.241 135.503
 41409.000 136.482 136.071 135.349 135.047 135.038 136.206 136.100 135.615 135.296 136.470 135.838 136.155 143.136 137.787 137.241 135.507
 41409.021 136.473 136.067 135.346 135.043 135.033 136.201 136.095 135.612 135.293 136.463 135.834 136.150 143.129 137.785 137.241 135.508
 41409.042 136.461 136.056 135.336 135.037 135.027 136.190 136.085 135.602 135.284 136.451 135.824 136.139 143.118 137.780 137.240 135.503
 41409.062 136.446 136.042 135.324 135.032 135.022 136.175 136.071 135.589 135.272 136.437 135.811 136.125 143.112 137.773 137.239 135.495
 41409.083 136.430 136.027 135.311 135.027 135.018 136.160 136.056 135.576 135.259 136.422 135.797 136.110 143.113 137.768 137.237 135.483
 41409.104 136.415 136.014 135.298 135.022 135.012 136.146 136.042 135.563 135.245 136.408 135.784 136.096 143.117 137.762 137.234 135.471
 41409.125 136.406 136.006 135.291 135.018 135.009 136.137 136.034 135.556 135.238 136.399 135.776 136.087 143.123 137.758 137.231 135.459
 41409.146 136.404 136.004 135.291 135.017 135.008 136.135 136.032 135.555 135.238 136.397 135.775 136.085 143.133 137.756 137.227 135.453
 41409.167 136.403 136.004 135.291 135.015 135.006 136.135 136.032 135.555 135.239 136.397 135.775 136.085 143.142 137.756 137.225 135.452
 41409.187 136.402 136.003 135.290 135.014 135.004 136.134 136.031 135.554 135.238 136.396 135.774 136.085 143.147 137.760 137.224 135.451
 41409.208 136.401 136.003 135.290 135.013 135.003 136.134 136.031 135.554 135.237 136.395 135.774 136.084 143.152 137.768 137.224 135.451
 41409.229 136.401 136.002 135.289 135.012 135.001 136.133 136.030 135.553 135.237 136.394 135.773 136.083 143.154 137.780 137.225 135.451
 41409.250 136.395 135.999 135.289 135.014 135.003 136.130 136.027 135.552 135.236 136.390 135.771 136.080 143.154 137.793 137.230 135.453
 41409.271 136.386 135.994 135.288 135.019 135.010 136.123 136.021 135.549 135.236 136.381 135.767 136.074 143.152 137.806 137.236 135.456
 41409.292 136.376 135.988 135.288 135.025 135.017 136.116 136.015 135.546 135.237 136.372 135.762 136.067 143.147 137.817 137.243 135.459
 41409.312 136.366 135.982 135.289 135.032 135.023 136.110 136.009 135.544 135.239 136.363 135.758 136.061 143.141 137.824 137.250 135.463
 41409.333 136.357 135.977 135.292 135.038 135.030 136.104 136.004 135.543 135.242 136.354 135.755 136.056 143.136 137.826 137.256 135.468
 41409.354 136.348 135.973 135.295 135.045 135.037 136.098 136.000 135.543 135.247 136.346 135.753 136.051 143.130 137.824 137.260 135.472
 41409.375 136.345 135.972 135.300 135.046 135.038 136.097 135.998 135.544 135.253 136.343 135.753 136.049 143.120 137.819 137.262 135.476
 41409.396 136.347 135.973 135.301 135.041 135.033 136.098 136.000 135.546 135.254 136.345 135.755 136.051 143.113 137.813 137.261 135.479
 41409.417 136.349 135.974 135.297 135.036 135.027 136.099 136.001 135.544 135.248 136.347 135.754 136.052 143.112 137.806 137.259 135.477
 41409.437 136.349 135.972 135.290 135.031 135.022 136.098 135.999 135.541 135.241 136.346 135.752 136.051 143.111 137.799 137.256 135.472
 41409.458 136.349 135.971 135.285 135.026 135.018 136.097 135.998 135.537 135.235 136.346 135.749 136.049 143.111 137.792 137.252 135.465
 41409.479 136.349 135.971 135.283 135.021 135.012 136.097 135.998 135.536 135.232 136.346 135.748 136.049 143.114 137.786 137.248 135.459
 41409.500 136.346 135.969 135.281 135.020 135.012 136.095 135.996 135.534 135.230 136.344 135.747 136.047 143.117 137.780 137.244 135.454
 41409.521 136.339 135.965 135.281 135.023 135.015 136.090 135.991 135.532 135.230 136.337 135.744 136.043 143.122 137.776 137.241 135.451
 41409.542 136.332 135.960 135.280 135.027 135.018 136.085 135.987 135.530 135.230 136.331 135.740 136.038 143.127 137.772 137.237 135.449
 41409.562 136.326 135.956 135.281 135.030 135.022 136.081 135.983 135.528 135.231 136.324 135.737 136.034 143.134 137.770 137.235 135.447
 41409.583 136.319 135.952 135.281 135.033 135.025 136.076 135.979 135.527 135.232 136.318 135.734 136.029 143.138 137.768 137.232 135.446
 41409.604 136.312 135.948 135.282 135.036 135.028 136.071 135.975 135.525 135.233 136.312 135.732 136.025 143.140 137.768 137.231 135.446
 41409.625 136.311 135.948 135.283 135.037 135.029 136.071 135.974 135.525 135.234 136.311 135.731 136.024 143.143 137.770 137.230 135.445
 41409.646 136.317 135.951 135.284 135.036 135.027 136.074 135.978 135.527 135.236 136.316 135.734 136.028 143.144 137.774 137.230 135.446
 41409.667 136.323 135.955 135.284 135.034 135.026 136.079 135.982 135.530 135.236 136.322 135.737 136.032 143.145 137.779 137.231 135.448
 41409.687 136.329 135.959 135.285 135.033 135.024 136.083 135.985 135.531 135.236 136.327 135.740 136.036 143.144 137.785 137.233 135.449
 41409.708 136.335 135.962 135.285 135.031 135.022 136.087 135.989 135.533 135.235 136.333 135.743 136.040 143.143 137.790 137.236 135.451
 41409.729 136.340 135.966 135.285 135.030 135.021 136.091 135.992 135.535 135.235 136.338 135.745 136.044 143.140 137.794 137.239 135.453
 41409.750 136.349 135.971 135.286 135.029 135.020 136.097 135.998 135.537 135.236 136.346 135.749 136.049 143.138 137.796 137.242 135.455
 41409.771 136.361 135.979 135.289 135.029 135.020 136.106 136.006 135.542 135.238 136.358 135.755 136.058 143.137 137.796 137.243 135.458
 41409.792 136.375 135.987 135.292 135.029 135.020 136.115 136.014 135.547 135.241 136.370 135.762 136.066 143.137 137.796 137.244 135.461
 41409.812 136.388 135.995 135.295 135.029 135.020 136.125 136.023 135.553 135.244 136.382 135.769 136.075 143.136 137.794 137.245 135.464
 41409.833 136.401 136.004 135.297 135.029 135.020 136.134 136.031 135.558 135.246 136.394 135.776 136.084 143.135 137.792 137.245 135.466
 41409.854 136.414 136.012 135.301 135.029 135.020 136.144 136.040 135.563 135.249 136.407 135.783 136.094 143.136 137.790 137.245 135.469
 41409.875 136.421 136.017 135.304 135.033 135.023 136.150 136.045 135.567 135.253 136.413 135.787 136.099 143.136 137.787 137.244 135.472
 41409.896 136.421 136.019 135.310 135.039 135.030 136.151 136.047 135.571 135.260 136.413 135.790 136.101 143.137 137.785 137.243 135.475
 41409.917 136.421 136.021 135.319 135.046 135.037 136.152 136.049 135.576 135.269 136.414 135.793 136.102 143.138 137.783 137.241 135.479
 41409.937 136.423 136.024 135.328 135.052 135.043 136.155 136.052 135.582 135.279 136.415 135.797 136.105 143.139 137.783 137.240 135.486
 41409.958 136.425 136.028 135.337 135.059 135.050 136.158 136.056 135.589 135.289 136.418 135.803 136.109 143.139 137.783 137.239 135.493
 41409.979 136.427 136.032 135.346 135.065 135.057 136.162 136.060 135.596 135.297 136.420 135.809 136.113 143.139 137.783 137.238 135.499
 41410.000 136.424 136.034 135.351 135.065 135.056 136.163 136.061 135.601 135.301 136.418 135.812 136.114 143.140 137.784 137.238 135.505
 41410.021 136.415 136.028 135.346 135.057 135.048 136.156 136.055 135.597 135.296 136.410 135.807 136.107 143.140 137.785 137.238 135.506
 41410.042 136.399 136.015 135.333 135.048 135.039 136.142 136.042 135.583 135.283 136.395 135.794 136.094 143.140 137.786 137.238 135.500
 41410.062 136.381 135.999 135.316 135.040 135.031 136.126 136.026 135.567 135.267 136.378 135.778 136.077 143.140 137.788 137.239 135.489
 41410.083 136.363 135.983 135.298 135.032 135.022 136.110 136.010 135.550 135.248 136.360 135.762 136.062 143.139 137.789 137.239 135.475
 41410.104 136.346 135.970 135.283 135.023 135.014 136.096 135.997 135.536 135.233 136.344 135.748 136.048 143.138 137.789 137.240 135.462
 41410.125 136.324 135.954 135.275 135.019 135.011 136.079 135.981 135.525 135.224 136.323 135.735 136.032 143.138 137.790 137.241 135.451
 41410.146 136.294 135.933 135.268 135.020 135.012 136.055 135.960 135.512 135.219 136.293 135.718 136.009 143.138 137.790 137.241 135.445
 41410.167 136.259 135.910 135.261 135.021 135.014 136.028 135.936 135.498 135.213 136.259 135.699 135.984 143.138 137.790 137.242 135.440
 41410.187 136.224 135.886 135.254 135.023 135.016 136.001 135.911 135.484 135.206 136.224 135.680 135.959 143.138 137.790 137.242 135.433
 41410.208 136.190 135.863 135.247 135.024 135.018 135.974 135.887 135.470 135.200 136.189 135.661 135.934 143.138 137.790 137.242 135.427
 41410.229 136.155 135.839 135.240 135.025 135.019 135.947 135.863 135.456 135.194 136.155 135.642 135.909 143.138 137.789 137.242 135.421
 41410.250 136.139 135.828 135.237 135.029 135.023 135.935 135.852 135.449 135.192 136.139 135.633 135.897 143.138 137.789 137.242 135.415
 41410.271 136.153 135.838 135.244 135.036 135.030 135.946 135.862 135.457 135.200 136.153 135.641 135.908 143.138 137.788 137.242 135.415
 41410.292 136.179 135.858 135.257 135.044 135.037 135.968 135.882 135.473 135.214 136.179 135.659 135.928 143.138 137.788 137.242 135.421
 41410.312 136.205 135.877 135.269 135.051 135.043 135.990 135.902 135.488 135.226 136.205 135.677 135.949 143.138 137.787 137.241 135.432
 41410.333 136.230 135.896 135.280 135.057 135.050 136.010 135.921 135.501 135.237 136.230 135.693 135.968 143.138 137.787 137.241 135.442
 41410.354 136.255 135.914 135.292 135.064 135.057 136.031 135.940 135.515 135.250 136.255 135.709 135.988 143.139 137.787 137.241 135.451
 41410.375 136.277 135.931 135.304 135.065 135.057 136.048 135.956 135.529 135.261 136.277 135.724 136.004 143.139 137.787 137.241 135.461
 41410.396 136.291 135.940 135.307 135.059 135.050 136.059 135.966 135.535 135.264 136.291 135.732 136.015 143.139 137.787 137.240 135.469
 41410.417 136.299 135.944 135.302 135.052 135.043 136.064 135.970 135.534 135.258 136.299 135.734 136.019 143.139 137.787 137.240 135.470
 41410.437 136.305 135.946 135.295 135.045 135.037 136.067 135.972 135.531 135.249 136.304 135.734 136.022 143.138 137.787 137.240 135.465
 41410.458 136.310 135.948 135.288 135.039 135.030 136.071 135.975 135.529 135.241 136.309 135.733 136.025 143.138 137.787 137.240 135.459
 41410.479 136.316 135.951 135.283 135.032 135.023 136.074 135.977 135.527 135.234 136.315 135.734 136.028 143.138 137.787 137.240 135.455
 41410.500 136.319 135.952 135.281 135.031 135.023 136.076 135.978 135.526 135.231 136.318 135.734 136.029 143.138 137.787 137.240 135.451
 41410.521 136.316 135.951 135.281 135.035 135.027 136.074 135.977 135.526 135.233 136.315 135.733 136.027 143.138 137.787 137.241 135.450
 41410.542 136.314 135.950 135.284 135.040 135.033 136.073 135.976 135.527 135.236 136.313 135.733 136.026 143.138 137.787 137.241 135.452
 41410.562 136.312 135.949 135.288 135.045 135.038 136.072 135.976 135.529 135.241 136.312 135.734 136.026 143.138 137.787 137.241 135.454
 41410.583 136.311 135.949 135.293 135.050 135.043 136.072 135.976 135.531 135.246 136.311 135.735 136.026 143.138 137.787 137.241 135.457
 41410.604 136.310 135.950 135.298 135.055 135.048 136.072 135.976 135.534 135.253 136.310 135.736 136.026 143.138 137.787 137.241 135.461
 41410.625 136.308 135.950 135.302 135.055 135.047 136.071 135.976 135.536 135.257 136.308 135.737 136.025 143.138 137.787 137.241 135.465
 41410.646 136.304 135.947 135.299 135.049 135.040 136.068 135.973 135.534 135.254 136.304 135.735 136.022 143.138 137.787 137.241 135.467
 41410.667 136.297 135.941 135.289 135.042 135.033 136.062 135.967 135.526 135.243 136.297 135.729 136.016 143.138 137.787 137.241 135.463
 41410.687 136.289 135.934 135.279 135.035 135.027 136.054 135.960 135.518 135.231 136.289 135.721 136.009 143.138 137.787 137.241 135.455
 41410.708 136.281 135.927 135.272 135.028 135.020 136.047 135.953 135.511 135.223 136.281 135.714 136.002 143.138 137.787 137.241 135.447
 41410.729 136.274 135.921 135.266 135.021 135.013 136.041 135.947 135.506 135.218 136.274 135.709 135.996 143.138 137.787 137.241 135.441
 41410.750 136.273 135.920 135.265 135.020 135.012 136.040 135.946 135.504 135.216 136.273 135.707 135.995 143.138 137.787 137.241 135.438
 41410.771 136.280 135.925 135.268 135.025 135.018 136.045 135.951 135.507 135.219 136.280 135.711 136.001 143.138 137.787 137.241 135.437
 41410.792 136.290 135.932 135.274 135.031 135.022 136.054 135.959 135.514 135.226 136.290 135.718 136.008 143.138 137.787 137.241 135.441
 41410.812 136.301 135.940 135.279 135.036 135.027 136.062 135.966 135.520 135.231 136.300 135.725 136.016 143.138 137.787 137.241 135.446
 41410.833 136.311 135.947 135.285 135.041 135.033 136.070 135.974 135.526 135.237 136.310 135.732 136.024 143.138 137.787 137.241 135.450
 41410.854 136.322 135.955 135.291 135.046 135.038 136.078 135.982 135.533 135.244 136.320 135.739 136.032 143.138 137.787 137.241 135.455
 41410.875 136.328 135.960 135.298 135.049 135.041 136.084 135.987 135.539 135.252 136.326 135.744 136.037 143.138 137.787 137.241 135.461
 41410.896 136.327 135.962 135.302 135.051 135.043 136.085 135.988 135.541 135.256 136.326 135.746 136.038 143.138 137.787 137.241 135.466
 41410.917 136.326 135.961 135.303 135.052 135.044 136.084 135.987 135.542 135.258 136.325 135.746 136.037 143.138 137.787 137.241 135.468
 41410.937 136.323 135.959 135.303 135.054 135.046 136.082 135.985 135.541 135.258 136.322 135.745 136.035 143.138 137.787 137.241 135.469
 41410.958 136.321 135.958 135.304 135.056 135.048 136.080 135.984 135.541 135.259 136.320 135.744 136.034 143.138 137.787 137.241 135.469
 41410.979 136.318 135.957 135.305 135.057 135.049 136.079 135.983 135.541 135.261 136.318 135.743 136.033 143.138 137.787 137.241 135.470
 41411.000 136.313 135.953 135.305 135.054 135.046 136.075 135.979 135.539 135.260 136.312 135.741 136.029 143.138 137.787 137.241 135.470
 41411.021 136.301 135.944 135.296 135.046 135.038 136.065 135.970 135.532 135.251 136.300 135.733 136.019 143.138 137.787 137.241 135.468
 41411.042 136.284 135.931 135.282 135.037 135.029 136.051 135.957 135.519 135.235 136.284 135.720 136.006 143.138 137.787 137.241 135.460
 41411.062 136.267 135.918 135.269 135.029 135.021 136.036 135.943 135.506 135.221 136.267 135.707 135.992 143.138 137.787 137.241 135.448
 41411.083 136.251 135.905 135.260 135.020 135.012 136.023 135.931 135.496 135.212 136.251 135.696 135.979 143.138 137.787 137.241 135.438
 41411.104 136.236 135.894 135.253 135.012 135.004 136.011 135.920 135.487 135.205 136.236 135.686 135.968 143.138 137.787 137.241 135.432
