 "ZEIT[h]" "ZRET  1" "ZRETO  1"
   52.667   140.600   140.600
   52.833   140.600   140.600
   53.000   140.600   140.600
   53.167   140.600   140.600
   53.333   140.600   140.600
   53.500   140.600   140.600
   53.667   140.600   140.600
   53.833   140.600   140.600
   54.000   140.600   140.600
   54.167   140.600   140.600
   54.333   140.600   140.600
   54.500   140.600   140.600
   54.667   140.600   140.600
   54.833   140.600   140.600
   55.000   140.600   140.600
   55.167   140.600   140.600
   55.333   140.600   140.600
   55.500   140.600   140.600
   55.667   140.600   140.600
   55.833   140.600   140.600
   56.000   140.600   140.600
   56.167   140.600   140.600
   56.333   140.600   140.600
   56.500   140.600   140.600
   56.667   140.600   140.600
   56.833   140.600   140.600
   57.000   140.600   140.600
   57.167   140.600   140.600
   57.333   140.600   140.600
   57.500   140.600   140.600
   57.667   140.600   140.600
   57.833   140.600   140.600
   58.000   140.600   140.600
   58.167   140.600   140.600
   58.333   140.600   140.600
   58.500   140.600   140.600
   58.667   140.600   140.600
   58.833   140.600   140.600
   59.000   140.600   140.600
   59.167   140.600   140.600
   59.333   140.600   140.600
   59.500   140.600   140.600
   59.667   140.600   140.600
   59.833   140.600   140.600
   60.000   140.600   140.600
   60.167   140.600   140.600
   60.333   140.600   140.600
   60.500   140.600   140.600
   60.667   140.600   140.600
   60.833   140.600   140.600
   61.000   140.600   140.600
   61.167   140.600   140.600
   61.333   140.600   140.600
   61.500   140.600   140.600
   61.667   140.600   140.600
   61.833   140.600   140.600
   62.000   140.600   140.600
   62.167   140.600   140.600
   62.333   140.600   140.600
   62.500   140.600   140.600
   62.667   140.600   140.600
   62.833   140.600   140.600
   63.000   140.600   140.600
   63.167   140.600   140.600
   63.333   140.600   140.600
   63.500   140.600   140.600
   63.667   140.600   140.600
   63.833   140.600   140.600
   64.000   140.600   140.600
   64.167   140.600   140.600
   64.333   140.600   140.600
   64.500   140.600   140.600
   64.667   140.600   140.600
   64.833   140.600   140.600
   65.000   140.600   140.600
   65.167   140.600   140.600
   65.333   140.600   140.600
   65.500   140.600   140.600
   65.667   140.600   140.600
   65.833   140.600   140.600
   66.000   140.600   140.600
   66.167   140.600   140.600
   66.333   140.600   140.600
   66.500   140.600   140.600
   66.667   140.600   140.600
   66.833   140.600   140.600
   67.000   140.600   140.600
   67.167   140.600   140.600
   67.333   140.600   140.600
   67.500   140.600   140.600
   67.667   140.600   140.600
   67.833   140.600   140.600
   68.000   140.600   140.600
   68.167   140.600   140.600
   68.333   140.600   140.600
   68.500   140.600   140.600
   68.667   140.600   140.600
   68.833   140.600   140.600
   69.000   140.600   140.600
   69.167   140.600   140.600
   69.333   140.600   140.600
   69.500   140.600   140.600
   69.667   140.600   140.600
   69.833   140.600   140.600
   70.000   140.600   140.600
   70.167   140.600   140.600
   70.333   140.600   140.600
   70.500   140.600   140.600
   70.667   140.600   140.600
   70.833   140.600   140.600
   71.000   140.600   140.600
   71.167   140.600   140.600
   71.333   140.600   140.600
   71.500   140.600   140.600
   71.667   140.600   140.600
   71.833   140.600   140.600
   72.000   140.600   140.600
   72.167   140.600   140.600
   72.333   140.600   140.600
   72.500   140.600   140.600
   72.667   140.600   140.600
   72.833   140.600   140.600
   73.000   140.600   140.600
   73.167   140.600   140.600
   73.333   140.600   140.600
   73.500   140.600   140.600
   73.667   140.600   140.600
   73.833   140.600   140.600
   74.000   140.600   140.600
   74.167   140.600   140.600
   74.333   140.600   140.600
   74.500   140.600   140.600
   74.667   140.600   140.600
   74.833   140.600   140.600
   75.000   140.600   140.600
   75.167   140.600   140.600
   75.333   140.600   140.600
   75.500   140.600   140.600
   75.667   140.600   140.600
   75.833   140.600   140.600
   76.000   140.600   140.600
   76.167   140.600   140.600
   76.333   140.600   140.600
   76.500   140.600   140.600
   76.667   140.600   140.600
   76.833   140.600   140.600
   77.000   140.600   140.600
   77.167   140.600   140.600
   77.333   140.600   140.600
   77.500   140.600   140.600
   77.667   140.600   140.600
   77.833   140.600   140.600
   78.000   140.600   140.600
   78.167   140.600   140.600
   78.333   140.600   140.600
   78.500   140.600   140.600
   78.667   140.600   140.600
   78.833   140.600   140.600
   79.000   140.600   140.600
   79.167   140.600   140.600
   79.333   140.600   140.600
   79.500   140.600   140.600
   79.667   140.600   140.600
   79.833   140.600   140.600
   80.000   140.600   140.600
   80.167   140.600   140.600
   80.333   140.600   140.600
   80.500   140.600   140.600
   80.667   140.600   140.600
   80.833   140.600   140.600
   81.000   140.600   140.600
   81.167   140.600   140.600
   81.333   140.600   140.600
   81.500   140.600   140.600
   81.667   140.600   140.600
   81.833   140.600   140.600
   82.000   140.600   140.600
   82.167   140.600   140.600
   82.333   140.600   140.600
   82.500   140.600   140.600
   82.667   140.600   140.600
   82.833   140.600   140.600
   83.000   140.600   140.600
   83.167   140.600   140.600
   83.333   140.600   140.600
   83.500   140.600   140.600
   83.667   140.600   140.600
   83.833   140.600   140.600
   84.000   140.600   140.600
   84.167   140.600   140.600
   84.333   140.600   140.600
   84.500   140.600   140.600
   84.667   140.600   140.600
   84.833   140.600   140.600
   85.000   140.600   140.600
   85.167   140.600   140.600
   85.333   140.600   140.600
   85.500   140.600   140.600
   85.667   140.600   140.600
   85.833   140.600   140.600
   86.000   140.600   140.600
   86.167   140.600   140.600
   86.333   140.600   140.600
   86.500   140.600   140.600
   86.667   140.600   140.600
   86.833   140.600   140.600
   87.000   140.600   140.600
   87.167   140.600   140.600
   87.333   140.600   140.600
   87.500   140.600   140.600
   87.667   140.600   140.600
   87.833   140.600   140.600
   88.000   140.600   140.600
   88.167   140.600   140.600
   88.333   140.600   140.600
   88.500   140.600   140.600
   88.667   140.600   140.600
   88.833   140.600   140.600
