"IAB","ITYPE","WIDTH","HEIT","ZTR","ZTL","XL","ZO","RNI","DZERO","HZERO","QZERO","ZS","CKS","HR0","HR1","RNV1","HR2","RNV2","HR3","RNV3","HR4","RNV4","HR5","RNV5","HR6","RNV6","HR7","RNV7","SF","X","Y","ID","ZSHIFT"                                                                                     
584,4,0.00,5.00,0.00,0.00,29045.0,111.64,0.0400,3.112,114.752,26.649,3.28,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00090758,3473168.54,5446826.73,10488,0.00
468,4,0.00,5.00,0.00,0.00,29044.0,111.69,0.0400,3.054,114.744,26.649,2.94,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00144115,3473167.60,5446827.07,10488,0.00
583,9,0.00,5.00,0.00,0.00,29043.0,111.64,0.0400,3.102,114.742,26.649,3.88,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00187019,3473166.67,5446827.42,10488,0.00
582,9,0.00,5.00,0.00,0.00,29042.0,111.64,0.0400,3.100,114.740,26.649,3.88,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00186421,3473165.73,5446827.77,10488,0.00
581,4,0.00,5.00,0.00,0.00,29041.0,111.64,0.0400,3.105,114.745,26.649,3.28,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00091640,3473164.79,5446828.11,10488,0.00
467,4,0.00,5.00,0.00,0.00,29040.0,111.69,0.0400,3.032,114.722,26.649,4.01,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00213843,3473163.85,5446828.46,10488,0.00
466,5,0.00,5.00,0.00,0.00,29027.0,111.70,0.0400,3.007,114.711,26.649,2.45,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00168058,3473151.66,5446832.96,10488,0.00
580,4,0.00,5.00,0.00,0.00,29011.0,111.72,0.0400,2.977,114.697,26.649,2.84,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00132334,3473135.74,5446833.68,10488,0.00
465,5,0.00,5.00,0.00,0.00,29003.0,111.68,0.0400,3.011,114.687,26.649,2.27,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00127119,3473127.79,5446832.85,10488,0.00
464,4,0.00,5.00,0.00,0.00,28986.0,111.58,0.0400,3.086,114.666,26.649,2.92,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00106974,3473112.13,5446826.24,10488,0.00
579,4,0.00,5.00,0.00,0.00,28980.0,111.36,0.0400,3.297,114.657,26.649,3.03,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00118502,3473106.17,5446825.78,10488,0.00
