"ID","KNO","TYP","STAT","SOHL","UF_L","UF_R","WSP","Q","V","AVOL","I1000","HEL","HGR","HWSPORI","HDECKDF","HSOHLOF","KS","B_WSP","FROUDE","IT","TIME","X","Y"
10488,543,9,28024.0,111.19,115.23,115.46,112.78,13.18,1.12,0.0,1.335,112.84,111.98,112.78,3047.87,111.19,28.01,8.77,0.31,1441,60.042,3473079.88,5447635.99
10488,542,9,28016.0,111.19,115.23,115.46,112.77,13.18,1.13,0.0,1.371,112.84,111.98,112.77,3047.87,111.19,28.01,8.77,0.31,1441,60.042,3473081.41,5447643.84
10488,414,4,28015.0,111.08,114.84,115.30,112.78,13.18,1.07,0.0,1.273,112.84,111.93,112.78,3047.87,111.08,28.01,10.12,0.31,1441,60.042,3473081.57,5447644.83
10488,541,4,28012.0,111.19,114.88,115.36,112.77,13.18,1.11,0.0,1.431,112.83,111.98,112.77,3047.87,111.19,28.01,10.02,0.33,1441,60.042,3473082.04,5447647.80
10488,540,4,28002.0,110.48,114.31,114.50,112.77,13.18,0.94,0.0,0.833,112.82,111.55,112.77,3047.87,110.48,28.01,9.73,0.25,1441,60.042,3473084.55,5447657.43
10488,413,4,27953.0,110.47,113.68,115.35,112.73,13.18,0.92,0.0,0.893,112.77,111.49,112.73,3047.87,110.47,28.01,10.70,0.25,1441,60.042,3473103.37,5447702.60
10488,539,4,27869.0,110.56,113.71,114.09,112.64,13.18,0.96,0.0,0.946,112.69,111.52,112.64,3047.87,110.56,28.01,10.10,0.26,1441,60.042,3473143.48,5447776.35
10488,412,4,27828.0,110.50,113.73,115.32,112.63,13.18,0.78,0.0,0.591,112.67,111.34,112.63,3047.87,110.50,28.01,12.23,0.21,1441,60.042,3473164.85,5447811.35
10488,538,4,27798.0,110.66,113.57,114.39,112.60,13.18,0.84,0.0,0.735,112.64,111.42,112.60,3047.87,110.66,28.01,11.68,0.23,1441,60.042,3473180.53,5447836.92
10488,411,4,27731.0,110.63,113.56,116.15,112.55,13.18,0.87,0.0,0.763,112.59,111.41,112.55,3047.87,110.63,28.01,10.90,0.24,1441,60.042,3473211.26,5447896.23
10488,537,4,27721.0,110.48,113.34,114.99,112.56,13.18,0.71,0.0,0.562,112.59,111.27,112.56,3047.87,110.48,28.01,15.42,0.21,1441,60.042,3473213.93,5447905.85
10488,536,4,27621.0,110.34,113.48,114.04,112.53,13.18,0.36,0.0,0.397,112.54,111.23,112.53,3047.87,110.34,20.00,41.87,0.12,1441,60.042,3473229.40,5448002.53
10488,410,4,27610.0,110.21,113.44,114.41,112.53,13.18,0.31,0.0,0.261,112.53,111.15,112.53,3047.87,110.21,20.00,45.35,0.10,1441,60.042,3473231.00,5448013.39
