"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    29.304   118.040    42.471    12.550     0.000    18.519     2.293       593
    29.304   118.140    43.726    12.550     0.000    18.719     2.336       593
    29.304   118.240    44.981    12.550     0.000    18.919     2.378       593
    29.304   118.340    46.236    12.550     0.000    19.119     2.418       593
    29.304   118.440    47.491    12.550     0.000    19.319     2.458       593
    29.304   118.540    48.746    12.550     0.000    19.519     2.497       593
    29.304   118.640    50.001    12.550     0.000    19.719     2.536       593
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    29.300   113.730     0.187     3.165     0.000     3.180     0.059       479
    29.300   113.830     0.519     3.487     1.884     3.560     0.146       479
    29.300   113.930     0.884     3.810     3.226     3.939     0.224       479
    29.300   114.030     1.281     4.132     3.226     4.319     0.297       479
    29.300   114.130     1.711     4.455     3.226     4.699     0.364       479
    29.300   114.230     2.172     4.777     3.226     5.078     0.428       479
    29.300   114.330     2.666     5.100     3.226     5.458     0.488       479
    29.300   114.430     3.192     5.423     3.226     5.837     0.547       479
    29.300   114.530     3.751     5.745     3.226     6.217     0.603       479
    29.300   114.630     4.341     6.068     3.226     6.596     0.658       479
    29.300   114.730     4.964     6.390     3.226     6.976     0.712       479
    29.300   114.830     5.619     6.713     3.226     7.356     0.764       479
    29.300   114.930     6.307     7.035     3.226     7.735     0.815       479
    29.300   115.030     7.026     7.358     3.226     8.115     0.866       479
    29.300   115.130     7.778     7.681     3.226     8.494     0.916       479
    29.300   115.230     8.562     8.003     3.226     8.874     0.965       479
    29.300   115.330     9.379     8.326     3.226     9.254     1.014       479
    29.300   115.430    10.228     8.648     3.226     9.633     1.062       479
    29.300   115.530    11.109     8.971     3.226    10.013     1.109       479
    29.300   115.630    12.241    12.764    37.933    12.764     0.959       479
    29.300   115.730    13.561    13.200     0.000    14.575     0.930       479
    29.300   115.830    14.881    13.200     0.000    14.775     1.007       479
    29.300   115.930    16.201    13.200     0.000    14.975     1.082       479
    29.300   116.030    17.521    13.200     0.000    15.175     1.155       479
    29.300   116.130    18.841    13.200     0.000    15.375     1.225       479
    29.300   116.230    20.161    13.200     0.000    15.575     1.295       479
    29.300   116.330    21.481    13.200     0.000    15.775     1.362       479
    29.300   116.430    22.801    13.200     0.000    15.975     1.427       479
    29.300   116.530    24.121    13.200     0.000    16.175     1.491       479
    29.300   116.630    25.441    13.200     0.000    16.375     1.554       479
    29.300   116.730    26.761    13.200     0.000    16.575     1.615       479
    29.300   116.830    28.081    13.200     0.000    16.775     1.674       479
    29.300   116.930    29.401    13.200     0.000    16.975     1.732       479
    29.300   117.030    30.721    13.200     0.000    17.175     1.789       479
    29.300   117.130    32.041    13.200     0.000    17.375     1.844       479
    29.300   117.230    33.361    13.200     0.000    17.575     1.898       479
    29.300   117.330    34.681    13.200     0.000    17.775     1.951       479
    29.300   117.430    36.001    13.200     0.000    17.975     2.003       479
    29.300   117.530    37.321    13.200     0.000    18.175     2.053       479
    29.300   117.630    38.641    13.200     0.000    18.375     2.103       479
    29.300   117.730    39.961    13.200     0.000    18.575     2.151       479
    29.300   117.830    41.281    13.200     0.000    18.775     2.199       479
    29.300   117.930    42.601    13.200     0.000    18.975     2.245       479
    29.300   118.030    43.921    13.200     0.000    19.175     2.291       479
    29.300   118.130    45.241    13.200     0.000    19.375     2.335       479
    29.300   118.230    46.561    13.200     0.000    19.575     2.379       479
    29.300   118.330    47.881    13.200     0.000    19.775     2.421       479
    29.300   118.430    49.201    13.200     0.000    19.975     2.463       479
    29.300   118.530    50.521    13.200     0.000    20.175     2.504       479
    29.300   118.630    51.841    13.200     0.000    20.375     2.544       479
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    29.295   113.690     0.235     3.171     0.000     3.191     0.074       592
    29.295   113.790     0.587     3.873     1.927     3.927     0.150       592
    29.295   113.890     1.009     4.530     6.566     4.622     0.218       592
    29.295   113.990     1.475     4.775     2.452     4.957     0.297       592
    29.295   114.090     1.964     5.022     2.466     5.293     0.371       592
    29.295   114.190     2.478     5.207     1.852     5.582     0.444       592
    29.295   114.290     3.004     5.321     1.137     5.814     0.517       592
    29.295   114.390     3.544     5.498     1.774     6.096     0.581       592
    29.295   114.490     4.104     5.717     2.190     6.411     0.640       592
    29.295   114.590     4.688     5.992     2.753     6.771     0.692       592
    29.295   114.690     5.309     6.418     4.256     7.242     0.733       592
    29.295   114.790     5.972     6.841     4.235     7.710     0.775       592
    29.295   114.890     6.677     7.259     4.173     8.173     0.817       592
    29.295   114.990     7.423     7.676     4.173     8.635     0.860       592
    29.295   115.090     8.213     8.117     4.408     9.120     0.901       592
    29.295   115.190     9.047     8.560     4.434     9.606     0.942       592
    29.295   115.290     9.925     9.003     4.434    10.093     0.983       592
    29.295   115.390    10.847     9.447     4.434    10.579     1.025       592
    29.295   115.490    11.872    12.166    27.189    13.257     0.896       592
    29.295   115.590    13.215    13.680    15.141    15.013     0.880       592
    29.295   115.690    14.583    13.680     0.000    15.213     0.959       592
    29.295   115.790    15.951    13.680     0.000    15.413     1.035       592
    29.295   115.890    17.319    13.680     0.000    15.613     1.109       592
    29.295   115.990    18.687    13.680     0.000    15.813     1.182       592
    29.295   116.090    20.055    13.680     0.000    16.013     1.252       592
    29.295   116.190    21.423    13.680     0.000    16.213     1.321       592
    29.295   116.290    22.791    13.680     0.000    16.413     1.389       592
    29.295   116.390    24.159    13.680     0.000    16.613     1.454       592
    29.295   116.490    25.527    13.680     0.000    16.813     1.518       592
    29.295   116.590    26.895    13.680     0.000    17.013     1.581       592
    29.295   116.690    28.263    13.680     0.000    17.213     1.642       592
    29.295   116.790    29.631    13.680     0.000    17.413     1.702       592
    29.295   116.890    30.999    13.680     0.000    17.613     1.760       592
    29.295   116.990    32.367    13.680     0.000    17.813     1.817       592
    29.295   117.090    33.735    13.680     0.000    18.013     1.873       592
    29.295   117.190    35.103    13.680     0.000    18.213     1.927       592
    29.295   117.290    36.471    13.680     0.000    18.413     1.981       592
    29.295   117.390    37.839    13.680     0.000    18.613     2.033       592
    29.295   117.490    39.207    13.680     0.000    18.813     2.084       592
    29.295   117.590    40.575    13.680     0.000    19.013     2.134       592
    29.295   117.690    41.943    13.680     0.000    19.213     2.183       592
    29.295   117.790    43.311    13.680     0.000    19.413     2.231       592
    29.295   117.890    44.679    13.680     0.000    19.613     2.278       592
    29.295   117.990    46.047    13.680     0.000    19.813     2.324       592
    29.295   118.090    47.415    13.680     0.000    20.013     2.369       592
