"ZEIT[H]","Q_gesamt","Q_Kraft","Q_Wehr"
41412.146,1588.89,1500,88.89
41412.167,1585.82,1500,85.82
41412.187,1582.3,1500,82.3
41412.208,1579.56,1500,79.56
41412.229,1577.2,1500,77.2
41412.25,1571.19,1500,71.19
41412.271,1562.12,1500,62.12
41412.292,1552.96,1500,52.96
41412.312,1543.25,1500,43.25
41412.333,1533.77,1500,33.77
41412.354,1524.4,1500,24.4
41412.375,1512.31,1497.31,15
41412.396,1505.41,1490.41,15
41412.417,1511.16,1496.16,15
41412.437,1520.17,1500,20.17
41412.458,1526.8,1500,26.8
41412.479,1532.82,1500,32.82
41412.5,1546.56,1500,46.56
41412.521,1562.41,1500,62.41
41412.542,1569.55,1500,69.55
41412.562,1572.06,1500,72.06
41412.583,1573.19,1500,73.19
41412.604,1574.48,1500,74.48
41412.625,1581.83,1500,81.83
41412.646,1592.8,1500,92.8
41412.667,1600.01,1500,100.01
41412.687,1602.14,1500,102.14
41412.708,1599.81,1500,99.81
41412.729,1597.89,1500,97.89
41412.75,1593.68,1500,93.68
41412.771,1589.35,1500,89.35
41412.792,1587.09,1500,87.09
41412.812,1583.43,1500,83.43
41412.833,1580.35,1500,80.35
41412.854,1577.84,1500,77.84
41412.875,1573.7,1500,73.7
41412.896,1569.13,1500,69.13
41412.917,1565.59,1500,65.59
41412.937,1561.19,1500,61.19
41412.958,1557.26,1500,57.26
41412.979,1554.45,1500,54.45
41413,1555.95,1500,55.95
41413.021,1555.94,1500,55.94
41413.042,1545.43,1500,45.43
41413.062,1530.53,1500,30.53
41413.083,1516.9,1500,16.9
41413.104,1504.21,1489.21,15
41413.125,1488.11,1473.11,15
41413.146,1474.36,1459.36,15
41413.167,1468.88,1453.88,15
41413.187,1465.86,1450.86,15
41413.208,1462.34,1447.34,15
41413.229,1458.23,1443.23,15
41413.25,1446.63,1431.63,15
41413.271,1431.99,1416.99,15
41413.292,1422.7,1407.7,15
41413.312,1415.21,1400.21,15
41413.333,1408.01,1393.01,15
41413.354,1400.71,1385.71,15
41413.375,1415.33,1400.33,15
41413.396,1444.56,1429.56,15
41413.417,1464.72,1449.72,15
41413.437,1480.81,1465.81,15
41413.458,1493.85,1478.85,15
41413.479,1504.75,1489.75,15
41413.5,1502.65,1487.65,15
41413.521,1496.31,1481.31,15
41413.542,1500.71,1485.71,15
41413.562,1508.46,1493.46,15
41413.583,1516.16,1500,16.16
41413.604,1523.26,1500,23.26
41413.625,1535.19,1500,35.19
41413.646,1547.36,1500,47.36
41413.667,1551.74,1500,51.74
41413.687,1553.5,1500,53.5
41413.708,1554.98,1500,54.98
41413.729,1556.27,1500,56.27
41413.75,1551.22,1500,51.22
41413.771,1540.88,1500,40.88
41413.792,1530.54,1500,30.54
41413.812,1518.56,1500,18.56
41413.833,1506.63,1491.63,15
41413.854,1495.71,1480.71,15
41413.875,1491.23,1476.23,15
41413.896,1489.55,1474.55,15
41413.917,1483.97,1468.97,15
41413.937,1477.15,1462.15,15
41413.958,1470.33,1455.33,15
41413.979,1463.31,1448.31,15
41414,1453.01,1438.01,15
41414.021,1445.19,1430.19,15
41414.042,1444.99,1429.99,15
41414.062,1447.17,1432.17,15
41414.083,1449.11,1434.11,15
41414.104,1450.52,1435.52,15
41414.125,1455.57,1440.57,15
41414.146,1462.48,1447.48,15
41414.167,1466.97,1451.97,15
41414.187,1470.85,1455.85,15
41414.208,1474.75,1459.75,15
41414.229,1478.73,1463.73,15
41414.25,1479.22,1464.22,15
41414.271,1480.53,1465.53,15
41414.292,1488.57,1473.57,15
41414.312,1499.15,1484.15,15
41414.333,1509.45,1494.45,15
41414.354,1519.16,1500,19.16
41414.375,1535.48,1500,35.48
41414.396,1551.96,1500,51.96
41414.417,1558.1,1500,58.1
41414.437,1558.89,1500,58.89
41414.458,1559.95,1500,59.95
41414.479,1561.37,1500,61.37
41414.5,1558.75,1500,58.75
41414.521,1557.6,1500,57.6
41414.542,1559.69,1500,59.69
41414.562,1561.05,1500,61.05
41414.583,1562.78,1500,62.78
41414.604,1564.98,1500,64.98
41414.625,1569.49,1500,69.49
41414.646,1568.51,1500,68.51
41414.667,1556.73,1500,56.73
41414.687,1542.22,1500,42.22
41414.708,1528.1,1500,28.1
41414.729,1515.02,1500,15.02
41414.75,1501.6,1486.6,15
41414.771,1493.29,1478.29,15
41414.792,1493.46,1478.46,15
41414.812,1495.38,1480.38,15
41414.833,1496.84,1481.84,15
41414.854,1498.17,1483.17,15
41414.875,1499.63,1484.63,15
41414.896,1501.2,1486.2,15
41414.917,1502.8,1487.8,15
41414.937,1504.37,1489.37,15
41414.958,1505.82,1490.82,15
41414.979,1507.2,1492.2,15
41415,1507.66,1492.66,15
41415.021,1503.3,1488.3,15
41415.042,1492.39,1477.39,15
41415.062,1478.99,1463.99,15
41415.083,1466.28,1451.28,15
41415.104,1454.2,1439.2,15
41415.125,1446.6,1431.6,15
41415.146,1445.46,1430.46,15
41415.167,1448.71,1433.71,15
41415.187,1454.01,1439.01,15
41415.208,1458.5,1443.5,15
41415.229,1462.31,1447.31,15
41415.25,1465.62,1450.62,15
41415.271,1468.13,1453.13,15
41415.292,1469.6,1454.6,15
41415.312,1470.63,1455.63,15
41415.333,1471.9,1456.9,15
41415.354,1473.31,1458.31,15
41415.375,1477.04,1462.04,15
41415.396,1485.22,1470.22,15
41415.417,1495.93,1480.93,15
41415.437,1509.04,1494.04,15
41415.458,1522.96,1500,22.96
41415.479,1535.69,1500,35.69
41415.5,1538.58,1500,38.58
41415.521,1537.54,1500,37.54
41415.542,1540.09,1500,40.09
41415.562,1540.11,1500,40.11
41415.583,1540.69,1500,40.69
41415.604,1541.24,1500,41.24
41415.625,1556.8,1500,56.8
41415.646,1580.39,1500,80.39
41415.667,1591.44,1500,91.44
41415.687,1595.4,1500,95.4
41415.708,1596.78,1500,96.78
41415.729,1598.16,1500,98.16
41415.75,1601.92,1500,101.92
41415.771,1605.84,1500,105.84
41415.792,1605.95,1500,105.95
41415.812,1603.61,1500,103.61
41415.833,1602.23,1500,102.23
41415.854,1601.22,1500,101.22
41415.875,1593.13,1500,93.13
41415.896,1582.16,1500,82.16
41415.917,1576.21,1500,76.21
41415.937,1570.81,1500,70.81
41415.958,1564.86,1500,64.86
41415.979,1559.64,1500,59.64
41416,1567.09,1500,67.09
41416.021,1582.89,1500,82.89
41416.042,1591.2,1500,91.2
41416.062,1592.85,1500,92.85
41416.083,1589.8,1500,89.8
41416.104,1586.25,1500,86.25
41416.125,1578.3,1500,78.3
41416.146,1571.11,1500,71.11
41416.167,1570.09,1500,70.09
41416.187,1569.38,1500,69.38
41416.208,1568.12,1500,68.12
41416.229,1566.38,1500,66.38
41416.25,1567.01,1500,67.01
41416.271,1570.73,1500,70.73
41416.292,1575.15,1500,75.15
41416.312,1579.53,1500,79.53
41416.333,1583.71,1500,83.71
41416.354,1588.1,1500,88.1
41416.375,1592.81,1500,92.81
41416.396,1597.65,1500,97.65
41416.417,1602.47,1500,102.47
41416.437,1607.35,1500,107.35
41416.458,1612.26,1500,112.26
41416.479,1616.83,1500,116.83
41416.5,1620.63,1500,120.63
41416.521,1622.96,1500,122.96
41416.542,1623.94,1500,123.94
41416.562,1624.61,1500,124.61
41416.583,1625.6,1500,125.6
41416.604,1626.88,1500,126.88
41416.625,1626.73,1500,126.73
41416.646,1627.03,1500,127.03
41416.667,1630.41,1500,130.41
41416.687,1634.41,1500,134.41
41416.708,1638.56,1500,138.56
41416.729,1643.55,1500,143.55
41416.75,1648.33,1500,148.33
41416.771,1650.8,1500,150.8
41416.792,1650.22,1500,150.22
41416.812,1648.26,1500,148.26
41416.833,1646.08,1500,146.08
41416.854,1644.06,1500,144.06
41416.875,1647.69,1500,147.69
41416.896,1654.3,1500,154.3
41416.917,1657.07,1500,157.07
41416.937,1657.72,1500,157.72
41416.958,1657.22,1500,157.22
41416.979,1656.77,1500,156.77
41417,1654.54,1500,154.54
41417.021,1648.28,1500,148.28
41417.042,1641.72,1500,141.72
41417.062,1637.65,1500,137.65
41417.083,1634.11,1500,134.11
41417.104,1630.63,1500,130.63
41417.125,1623.23,1500,123.23
41417.146,1616.67,1500,116.67
41417.167,1615.08,1500,115.08
41417.187,1614,1500,114
41417.208,1613.16,1500,113.16
41417.229,1611.67,1500,111.67
41417.25,1617.29,1500,117.29
41417.271,1627.67,1500,127.67
41417.292,1633.79,1500,133.79
41417.312,1634.96,1500,134.96
41417.333,1632.33,1500,132.33
41417.354,1629.35,1500,129.35
41417.375,1622.29,1500,122.29
41417.396,1624.55,1500,124.55
41417.417,1642.2,1500,142.2
41417.437,1660.66,1500,160.66
41417.458,1679.83,1500,179.83
41417.479,1701.63,1500,201.63
41417.5,1732.2,1500,232.2
41417.521,1759.45,1500,259.45
41417.542,1769.36,1500,269.36
41417.562,1770.58,1500,270.58
41417.583,1768.79,1500,268.79
41417.604,1766.62,1500,266.62
41417.625,1764.2,1500,264.2
41417.646,1759.21,1500,259.21
41417.667,1751.09,1500,251.09
41417.687,1739.25,1500,239.25
41417.708,1718.71,1500,218.71
41417.729,1695.44,1500,195.44
41417.75,1677.5,1500,177.5
41417.771,1670.03,1500,170.03
41417.792,1673.64,1500,173.64
41417.812,1679.39,1500,179.39
41417.833,1682.98,1500,182.98
41417.854,1684.03,1500,184.03
41417.875,1692.17,1500,192.17
41417.896,1713.36,1500,213.36
41417.917,1742.12,1500,242.12
41417.937,1773.47,1500,273.47
41417.958,1804.42,1500,304.42
41417.979,1834.51,1500,334.51
41418,1860.45,1500,360.45
41418.021,1877.47,1500,377.47
41418.042,1885.58,1500,385.58
41418.062,1888.9,1500,388.9
41418.083,1890.98,1500,390.98
41418.104,1893.03,1500,393.03
41418.125,1892.76,1500,392.76
41418.146,1888.14,1500,388.14
41418.167,1880.07,1500,380.07
41418.187,1869.96,1500,369.96
41418.208,1859.22,1500,359.22
41418.229,1848.45,1500,348.45
41418.25,1841.33,1500,341.33
41418.271,1835.9,1500,335.9
41418.292,1827.69,1500,327.69
41418.312,1818.06,1500,318.06
41418.333,1807.79,1500,307.79
41418.354,1797.4,1500,297.4
41418.375,1782.32,1500,282.32
41418.396,1766.91,1500,266.91
41418.417,1760.13,1500,260.13
41418.437,1760.28,1500,260.28
41418.458,1764.2,1500,264.2
41418.479,1769.34,1500,269.34
41418.5,1779.87,1500,279.87
41418.521,1786.13,1500,286.13
41418.542,1777.49,1500,277.49
41418.562,1761.47,1500,261.47
41418.583,1743.21,1500,243.21
41418.604,1724.23,1500,224.23
41418.625,1694.04,1500,194.04
41418.646,1669.27,1500,169.27
41418.667,1668.31,1500,168.31
41418.687,1672.73,1500,172.73
41418.708,1674.03,1500,174.03
41418.729,1674.62,1500,174.62
41418.75,1672.13,1500,172.13
41418.771,1667.33,1500,167.33
41418.792,1663.4,1500,163.4
41418.812,1659.2,1500,159.2
41418.833,1654.76,1500,154.76
41418.854,1651.53,1500,151.53
41418.875,1661.28,1500,161.28
41418.896,1678.61,1500,178.61
41418.917,1690.44,1500,190.44
41418.937,1691.36,1500,191.36
41418.958,1681.06,1500,181.06
41418.979,1676.6,1500,176.6
41419,1669.59,1500,169.59
41419.021,1665.03,1500,165.03
41419.042,1670.53,1500,170.53
41419.062,1671.03,1500,171.03
41419.083,1668.16,1500,168.16
41419.104,1668.57,1500,168.57
41419.125,1691.61,1500,191.61
41419.146,1719.42,1500,219.42
41419.167,1726.36,1500,226.36
41419.187,1724,1500,224
41419.208,1702.68,1500,202.68
41419.229,1671.83,1500,171.83
41419.25,1650.39,1500,150.39
41419.271,1642.18,1500,142.18
41419.292,1646.52,1500,146.52
41419.312,1651.41,1500,151.41
41419.333,1654.85,1500,154.85
41419.354,1657.97,1500,157.97
41419.375,1657.57,1500,157.57
41419.396,1653.39,1500,153.39
41419.417,1650.34,1500,150.34
41419.437,1645.49,1500,145.49
41419.458,1639.37,1500,139.37
41419.479,1634.06,1500,134.06
41419.5,1642.66,1500,142.66
41419.521,1653.62,1500,153.62
41419.542,1645.61,1500,145.61
41419.562,1635.39,1500,135.39
41419.583,1633.36,1500,133.36
41419.604,1631.93,1500,131.93
41419.625,1604.55,1500,104.55
41419.646,1572.9,1500,72.9
41419.667,1568.29,1500,68.29
41419.687,1564.13,1500,64.13
41419.708,1550.3,1500,50.3
41419.729,1536.45,1500,36.45
41419.75,1549.09,1500,49.09
41419.771,1578.91,1500,78.91
41419.792,1596.38,1500,96.38
41419.812,1605.4,1500,105.4
41419.833,1604.36,1500,104.36
41419.854,1598.71,1500,98.71
41419.875,1588.62,1500,88.62
41419.896,1574.6,1500,74.6
41419.917,1562.32,1500,62.32
41419.937,1550.77,1500,50.77
41419.958,1539.07,1500,39.07
41419.979,1527.22,1500,27.22
41420,1531.08,1500,31.08
41420.021,1547.78,1500,47.78
41420.042,1561.27,1500,61.27
41420.062,1572.31,1500,72.31
41420.083,1581.21,1500,81.21
41420.104,1591.4,1500,91.4
41420.125,1595.43,1500,95.43
41420.146,1596.12,1500,96.12
41420.167,1602.81,1500,102.81
41420.187,1607.57,1500,107.57
