"TAGXLS","H_Kron_NN","H_Frei_NN","Q_Kron_1h","Q_Kron_3h","Q_Kron_6h"
40547.208333333,135.0925,134.91,585.52254997253,581.80862256369,593.57859897614
40547.25,135.0525,134.8875,539.7198036194,620.16681315103,600.98771785736
40547.291666667,135.105,134.7975,735.25808586117,657.87663983662,639.02172649383
40547.333333333,135.09,134.8075,698.65203002929,708.51123552957,683.19393768309
40547.375,135.085,134.805,691.62359069824,692.33030222575,700.42076887766
40547.416666667,135.0825,134.805,686.71528594971,733.16318735758,712.74674479166
40547.458333333,135.14,134.7475,821.15068542478,798.01683181761,765.59000958759
40547.5,135.2025,134.7725,886.18452407834,861.45513046262,829.73598114011
40547.541666667,135.2125,134.8,877.03018188475,878.06801452634,869.76157249448
40547.583333333,135.23,134.8325,870.98933761593,830.8736423238,854.47082842507
40547.625,135.205,134.92,744.60140747073,793.89806496938,812.38585364659
40547.666666667,135.2125,134.9125,766.10344982148,746.76049900056,770.32928198497
40547.708333333,135.195,134.92,729.57663970947,744.30113498688,745.53081699372
40547.75,135.2,134.92,737.22331542968,778.80434621174,761.55274059931
40547.791666667,135.26,134.88,869.61308349608,836.51389180501,807.65911900838
40547.833333333,135.3,134.905,902.70527648926,853.06529281616,844.78959231059
40547.875,135.27,134.9625,786.87751846313,811.29543619791,832.18036450703
40547.916666667,135.245,134.965,744.30351364135,759.94278574626,785.61911097209
40547.958333333,135.235,134.95,748.6473251343,753.09491500855,756.5188503774
40548,135.24,134.9425,766.33390625001,699.60622432074,726.35056966465
40548.041666667,135.1725,134.9975,583.83744157792,655.97206769943,677.78914601009
40548.083333333,135.155,134.955,617.74485527036,599.82479619979,627.89843194961
40548.125,135.1375,134.95,597.89209175108,602.56816595074,601.19648107526
40548.166666667,135.1075,134.9225,592.06755083079,601.96033821739,602.26425208406
40548.208333333,135.095,134.89,615.92137207031,603.6380578168,602.7991980171
40548.25,135.0675,134.855,602.92525054931,666.04713445027,634.84259613354
40548.291666667,135.125,134.775,779.29478073119,725.30648198444,695.67680821736
40548.333333333,135.14,134.7825,793.69941467283,778.64403630574,751.97525914509
40548.375,135.12,134.7875,762.93791351319,769.83676085154,774.24039857864
40548.416666667,135.1125,134.7875,752.8729543686,792.53600880942,781.18638483048
40548.458333333,135.1725,134.7525,861.79715854646,837.42321787517,814.9796133423
40548.5,135.2125,134.775,897.59954071044,892.92161202748,865.17241495132
40548.541666667,135.245,134.8025,919.36813682555,900.34237890878,896.63199546813
40548.583333333,135.2525,134.8525,884.05945919036,849.55374575296,874.94806233087
40548.625,135.2125,134.9275,745.23364124296,776.61288014728,813.08331295012
40548.666666667,135.19,134.935,700.54554000853,724.11896678922,750.36592346825
40548.708333333,135.2,134.9275,726.57771911617,729.91613583881,727.01755131402
40548.75,135.2125,134.915,762.62514839173,787.28589213052,758.60101398466
40548.791666667,135.2525,134.865,872.65480888365,857.0216795349,822.15378583271
40548.833333333,135.315,134.8925,935.78508132932,861.95056256611,859.48612105051
40548.875,135.27,134.97,777.41179748536,835.21056145985,848.58056201298
40548.916666667,135.2775,134.9675,792.43480556487,792.31015626271,813.76035886128
40548.958333333,135.2925,134.975,807.08386573789,787.9785198593,790.14433806101
40549,135.2775,134.99,764.41688827513,718.06427925107,753.02139955519
