"ZEIT[H]" "K1101" "K1077" "K1013" "K 936" "K 971" "K1107" "K5117" "K1134" "K1146" "K1153" "K1157"
 41418.812 124.111 123.841 123.569 123.450 123.498 124.169 124.313 124.506 124.715 124.817 124.897
 41418.833 124.108 123.839 123.568 123.450 123.498 124.166 124.310 124.503 124.711 124.813 124.892
 41418.854 124.107 123.838 123.567 123.450 123.497 124.165 124.309 124.501 124.709 124.811 124.891
 41418.875 124.108 123.839 123.568 123.450 123.497 124.166 124.311 124.504 124.713 124.815 124.896
 41418.896 124.114 123.843 123.569 123.450 123.498 124.172 124.317 124.512 124.723 124.825 124.906
 41418.917 124.121 123.848 123.571 123.450 123.499 124.179 124.325 124.520 124.732 124.835 124.917
 41418.937 124.125 123.851 123.573 123.450 123.500 124.183 124.330 124.525 124.737 124.840 124.921
 41418.958 124.125 123.851 123.573 123.450 123.500 124.183 124.329 124.524 124.736 124.839 124.919
 41418.979 124.122 123.849 123.572 123.450 123.500 124.181 124.326 124.521 124.732 124.835 124.915
 41419.000 124.119 123.846 123.571 123.450 123.499 124.177 124.323 124.517 124.727 124.829 124.910
 41419.021 124.116 123.844 123.570 123.450 123.499 124.174 124.319 124.513 124.723 124.826 124.906
 41419.042 124.115 123.844 123.570 123.450 123.498 124.174 124.319 124.513 124.723 124.825 124.905
 41419.062 124.115 123.844 123.570 123.450 123.498 124.174 124.319 124.513 124.723 124.825 124.905
 41419.083 124.115 123.844 123.570 123.450 123.498 124.174 124.318 124.512 124.722 124.824 124.905
 41419.104 124.116 123.844 123.570 123.450 123.498 124.175 124.320 124.514 124.725 124.828 124.908
 41419.125 124.122 123.848 123.571 123.450 123.499 124.181 124.328 124.524 124.737 124.841 124.922
 41419.146 124.133 123.855 123.574 123.450 123.501 124.192 124.340 124.538 124.753 124.858 124.940
 41419.167 124.142 123.862 123.578 123.450 123.502 124.202 124.350 124.549 124.765 124.870 124.953
 41419.187 124.145 123.865 123.579 123.450 123.503 124.205 124.354 124.552 124.768 124.873 124.955
 41419.208 124.141 123.862 123.578 123.450 123.503 124.201 124.348 124.545 124.759 124.863 124.944
 41419.229 124.130 123.854 123.574 123.450 123.501 124.189 124.335 124.530 124.741 124.844 124.924
 41419.250 124.117 123.845 123.570 123.450 123.499 124.175 124.320 124.513 124.722 124.824 124.903
 41419.271 124.107 123.838 123.567 123.450 123.497 124.165 124.309 124.501 124.709 124.810 124.890
 41419.292 124.103 123.835 123.566 123.450 123.497 124.161 124.304 124.496 124.704 124.805 124.885
 41419.312 124.103 123.835 123.566 123.450 123.497 124.161 124.304 124.496 124.704 124.805 124.885
 41419.333 124.104 123.837 123.567 123.450 123.497 124.162 124.306 124.498 124.706 124.807 124.887
 41419.354 124.106 123.838 123.567 123.450 123.497 124.164 124.307 124.500 124.708 124.810 124.889
 41419.375 124.107 123.838 123.568 123.450 123.497 124.165 124.308 124.501 124.709 124.810 124.890
 41419.396 124.106 123.838 123.567 123.450 123.497 124.164 124.308 124.500 124.708 124.809 124.888
 41419.417 124.105 123.837 123.567 123.450 123.497 124.162 124.306 124.498 124.705 124.806 124.885
 41419.437 124.102 123.835 123.566 123.450 123.497 124.160 124.303 124.494 124.701 124.802 124.881
 41419.458 124.099 123.833 123.565 123.450 123.496 124.157 124.299 124.490 124.696 124.797 124.876
 41419.479 124.097 123.831 123.565 123.450 123.496 124.154 124.296 124.487 124.693 124.794 124.873
 41419.500 124.097 123.832 123.565 123.450 123.496 124.155 124.297 124.489 124.695 124.796 124.875
 41419.521 124.100 123.833 123.565 123.450 123.496 124.157 124.300 124.492 124.699 124.800 124.879
 41419.542 124.100 123.834 123.566 123.450 123.496 124.158 124.300 124.492 124.698 124.799 124.878
 41419.562 124.098 123.833 123.565 123.450 123.496 124.155 124.297 124.488 124.694 124.794 124.873
 41419.583 124.095 123.830 123.564 123.450 123.496 124.152 124.294 124.485 124.690 124.790 124.869
 41419.604 124.091 123.828 123.563 123.450 123.495 124.148 124.290 124.479 124.683 124.783 124.861
 41419.625 124.083 123.823 123.562 123.450 123.494 124.139 124.279 124.467 124.668 124.766 124.843
 41419.646 124.070 123.814 123.558 123.450 123.493 124.126 124.264 124.450 124.649 124.746 124.821
 41419.667 124.059 123.806 123.555 123.450 123.491 124.115 124.252 124.437 124.634 124.731 124.806
 41419.687 124.052 123.802 123.553 123.450 123.490 124.107 124.243 124.427 124.623 124.719 124.794
 41419.708 124.045 123.798 123.552 123.450 123.489 124.100 124.235 124.417 124.612 124.707 124.781
 41419.729 124.039 123.794 123.550 123.450 123.488 124.093 124.228 124.410 124.603 124.698 124.772
 41419.750 124.039 123.793 123.550 123.450 123.488 124.093 124.228 124.411 124.606 124.701 124.776
 41419.771 124.046 123.798 123.552 123.450 123.489 124.101 124.237 124.422 124.619 124.715 124.791
 41419.792 124.057 123.805 123.555 123.450 123.491 124.112 124.249 124.435 124.634 124.732 124.808
 41419.812 124.066 123.812 123.557 123.450 123.492 124.121 124.260 124.446 124.646 124.744 124.821
 41419.833 124.070 123.815 123.559 123.450 123.493 124.126 124.265 124.451 124.652 124.750 124.826
 41419.854 124.070 123.815 123.558 123.450 123.493 124.126 124.265 124.451 124.651 124.749 124.825
 41419.875 124.067 123.812 123.557 123.450 123.492 124.123 124.261 124.446 124.645 124.743 124.819
 41419.896 124.061 123.808 123.556 123.450 123.491 124.116 124.253 124.438 124.636 124.732 124.808
 41419.917 124.054 123.803 123.554 123.450 123.490 124.109 124.245 124.428 124.625 124.720 124.795
 41419.937 124.046 123.798 123.552 123.450 123.489 124.101 124.236 124.418 124.613 124.708 124.782
 41419.958 124.039 123.793 123.550 123.450 123.488 124.093 124.227 124.408 124.601 124.696 124.769
 41419.979 124.032 123.789 123.548 123.450 123.488 124.086 124.219 124.400 124.592 124.686 124.759
 41420.000 124.029 123.787 123.547 123.450 123.487 124.083 124.216 124.397 124.589 124.684 124.757
 41420.021 124.032 123.789 123.548 123.450 123.487 124.086 124.220 124.402 124.595 124.690 124.764
 41420.042 124.039 123.793 123.550 123.450 123.488 124.093 124.228 124.411 124.605 124.701 124.776
 41420.062 124.046 123.798 123.552 123.450 123.489 124.101 124.236 124.420 124.616 124.712 124.787
 41420.083 124.053 123.803 123.554 123.450 123.490 124.108 124.244 124.429 124.627 124.723 124.799
 41420.104 124.059 123.807 123.555 123.450 123.491 124.114 124.251 124.437 124.636 124.733 124.809
 41420.125 124.064 123.810 123.557 123.450 123.492 124.119 124.257 124.443 124.642 124.740 124.816
 41420.146 124.067 123.812 123.557 123.450 123.492 124.123 124.261 124.447 124.647 124.745 124.821
 41420.167 124.070 123.814 123.558 123.450 123.492 124.126 124.264 124.451 124.652 124.750 124.827
 41420.187 124.073 123.816 123.559 123.450 123.493 124.129 124.268 124.455 124.657 124.755 124.832
 41420.208 124.076 123.818 123.559 123.450 123.493 124.132 124.271 124.459 124.661 124.760 124.837
 41420.229 124.078 123.819 123.560 123.450 123.493 124.134 124.274 124.463 124.665 124.764 124.841
 41420.250 124.080 123.821 123.561 123.450 123.494 124.136 124.276 124.465 124.667 124.766 124.844
 41420.271 124.080 123.821 123.561 123.450 123.494 124.137 124.276 124.465 124.667 124.766 124.843
 41420.292 124.078 123.819 123.560 123.450 123.494 124.134 124.274 124.462 124.663 124.762 124.838
 41420.312 124.074 123.817 123.559 123.450 123.493 124.130 124.269 124.456 124.657 124.755 124.831
 41420.333 124.070 123.814 123.558 123.450 123.492 124.125 124.264 124.450 124.650 124.748 124.824
 41420.354 124.066 123.811 123.557 123.450 123.492 124.122 124.260 124.446 124.646 124.744 124.820
 41420.375 124.067 123.812 123.557 123.450 123.492 124.123 124.262 124.449 124.650 124.748 124.825
 41420.396 124.073 123.816 123.559 123.450 123.493 124.130 124.269 124.458 124.660 124.759 124.837
 41420.417 124.081 123.822 123.561 123.450 123.494 124.138 124.279 124.468 124.672 124.771 124.849
 41420.437 124.087 123.826 123.563 123.450 123.495 124.144 124.285 124.475 124.679 124.779 124.857
 41420.458 124.089 123.827 123.563 123.450 123.495 124.146 124.287 124.476 124.680 124.780 124.858
 41420.479 124.087 123.825 123.562 123.450 123.495 124.143 124.284 124.473 124.676 124.775 124.853
 41420.500 124.081 123.821 123.561 123.450 123.494 124.137 124.277 124.465 124.666 124.765 124.841
 41420.521 124.072 123.815 123.558 123.450 123.493 124.127 124.266 124.452 124.651 124.748 124.824
 41420.542 124.059 123.806 123.555 123.450 123.491 124.114 124.250 124.433 124.629 124.725 124.800
 41420.562 124.042 123.795 123.551 123.450 123.489 124.096 124.230 124.411 124.603 124.697 124.770
 41420.583 124.023 123.783 123.546 123.450 123.487 124.076 124.208 124.385 124.574 124.666 124.737
 41420.604 124.004 123.770 123.541 123.450 123.484 124.056 124.185 124.360 124.545 124.635 124.705
 41420.625 123.987 123.759 123.537 123.450 123.482 124.038 124.165 124.338 124.520 124.609 124.678
 41420.646 123.974 123.751 123.534 123.450 123.481 124.025 124.150 124.321 124.501 124.589 124.658
 41420.667 123.966 123.746 123.533 123.450 123.480 124.016 124.141 124.311 124.490 124.578 124.646
 41420.687 123.963 123.745 123.532 123.450 123.480 124.013 124.136 124.307 124.485 124.573 124.640
 41420.708 123.962 123.744 123.533 123.450 123.480 124.011 124.135 124.305 124.483 124.570 124.638
 41420.729 123.961 123.744 123.533 123.450 123.480 124.011 124.134 124.304 124.481 124.569 124.637
 41420.750 123.961 123.744 123.533 123.450 123.480 124.011 124.134 124.304 124.482 124.569 124.637
 41420.771 123.962 123.745 123.533 123.450 123.480 124.012 124.136 124.306 124.484 124.572 124.640
 41420.792 123.965 123.746 123.534 123.450 123.480 124.015 124.139 124.310 124.489 124.577 124.645
 41420.812 123.969 123.749 123.534 123.450 123.481 124.019 124.143 124.315 124.494 124.583 124.651
 41420.833 123.973 123.751 123.535 123.450 123.481 124.023 124.148 124.320 124.501 124.589 124.658
 41420.854 123.978 123.755 123.536 123.450 123.482 124.029 124.155 124.328 124.510 124.600 124.670
 41420.875 123.987 123.761 123.539 123.450 123.483 124.039 124.166 124.342 124.526 124.617 124.688
 41420.896 123.998 123.768 123.541 123.450 123.484 124.050 124.179 124.355 124.542 124.633 124.705
 41420.917 124.004 123.772 123.543 123.450 123.485 124.057 124.186 124.363 124.549 124.641 124.712
 41420.937 124.005 123.773 123.543 123.450 123.485 124.058 124.187 124.363 124.550 124.641 124.713
 41420.958 124.004 123.771 123.542 123.450 123.484 124.056 124.185 124.361 124.547 124.639 124.709
 41420.979 124.001 123.769 123.541 123.450 123.484 124.053 124.181 124.357 124.543 124.633 124.704
 41421.000 123.997 123.767 123.540 123.450 123.484 124.049 124.177 124.353 124.538 124.629 124.699
 41421.021 123.996 123.766 123.540 123.450 123.483 124.048 124.176 124.352 124.537 124.628 124.698
 41421.042 123.998 123.767 123.541 123.450 123.484 124.050 124.179 124.355 124.541 124.633 124.704
 41421.062 124.003 123.771 123.542 123.450 123.484 124.056 124.185 124.363 124.550 124.643 124.714
 41421.083 124.011 123.776 123.544 123.450 123.485 124.064 124.194 124.373 124.562 124.655 124.727
 41421.104 124.019 123.781 123.546 123.450 123.486 124.072 124.203 124.383 124.574 124.667 124.740
 41421.125 124.026 123.786 123.548 123.450 123.487 124.080 124.213 124.393 124.586 124.680 124.753
 41421.146 124.034 123.791 123.550 123.450 123.488 124.088 124.222 124.404 124.598 124.693 124.767
 41421.167 124.043 123.796 123.552 123.450 123.489 124.097 124.232 124.416 124.611 124.707 124.782
 41421.187 124.051 123.802 123.554 123.450 123.490 124.107 124.243 124.428 124.625 124.722 124.798
 41421.208 124.060 123.808 123.556 123.450 123.491 124.116 124.254 124.440 124.639 124.737 124.813
 41421.229 124.068 123.813 123.558 123.450 123.492 124.123 124.262 124.449 124.649 124.747 124.823
 41421.250 124.068 123.814 123.558 123.450 123.493 124.124 124.262 124.447 124.646 124.743 124.819
 41421.271 124.060 123.808 123.556 123.450 123.491 124.115 124.252 124.436 124.632 124.728 124.803
 41421.292 124.048 123.800 123.552 123.450 123.490 124.103 124.238 124.420 124.614 124.709 124.783
 41421.312 124.036 123.791 123.549 123.450 123.488 124.090 124.223 124.404 124.596 124.690 124.763
 41421.333 124.024 123.784 123.546 123.450 123.487 124.078 124.210 124.389 124.578 124.671 124.743
 41421.354 124.014 123.777 123.544 123.450 123.485 124.067 124.197 124.375 124.562 124.654 124.726
 41421.375 124.006 123.772 123.542 123.450 123.484 124.058 124.188 124.364 124.551 124.643 124.714
 41421.396 124.002 123.770 123.541 123.450 123.484 124.055 124.184 124.361 124.548 124.640 124.711
 41421.417 124.005 123.772 123.542 123.450 123.484 124.058 124.188 124.366 124.554 124.647 124.719
 41421.437 124.014 123.778 123.544 123.450 123.485 124.067 124.199 124.379 124.569 124.663 124.735
 41421.458 124.027 123.786 123.548 123.450 123.487 124.080 124.213 124.395 124.588 124.683 124.757
 41421.479 124.040 123.795 123.551 123.450 123.489 124.094 124.229 124.412 124.608 124.704 124.779
 41421.500 124.051 123.802 123.554 123.450 123.490 124.106 124.242 124.427 124.624 124.721 124.797
 41421.521 124.059 123.807 123.556 123.450 123.491 124.114 124.252 124.437 124.636 124.733 124.809
 41421.542 124.063 123.810 123.557 123.450 123.492 124.119 124.256 124.442 124.641 124.738 124.814
 41421.562 124.064 123.810 123.557 123.450 123.492 124.120 124.257 124.443 124.642 124.740 124.815
 41421.583 124.064 123.810 123.556 123.450 123.492 124.119 124.257 124.442 124.641 124.738 124.814
 41421.604 124.064 123.810 123.556 123.450 123.491 124.119 124.257 124.444 124.643 124.741 124.817
 41421.625 124.069 123.813 123.557 123.450 123.492 124.125 124.265 124.453 124.654 124.753 124.831
 41421.646 124.081 123.821 123.561 123.450 123.494 124.137 124.278 124.468 124.673 124.773 124.851
 41421.667 124.093 123.829 123.564 123.450 123.495 124.150 124.292 124.483 124.690 124.790 124.869
 41421.687 124.101 123.835 123.567 123.450 123.497 124.159 124.302 124.494 124.702 124.803 124.883
 41421.708 124.107 123.839 123.568 123.450 123.497 124.165 124.309 124.502 124.711 124.813 124.893
 41421.729 124.111 123.841 123.569 123.450 123.498 124.169 124.313 124.507 124.716 124.818 124.898
 41421.750 124.110 123.841 123.569 123.450 123.498 124.168 124.311 124.503 124.711 124.812 124.891
 41421.771 124.101 123.835 123.566 123.450 123.497 124.158 124.301 124.491 124.696 124.796 124.874
 41421.792 124.087 123.825 123.562 123.450 123.495 124.143 124.283 124.471 124.673 124.771 124.848
 41421.812 124.069 123.813 123.557 123.450 123.492 124.125 124.263 124.448 124.646 124.742 124.817
 41421.833 124.051 123.801 123.552 123.450 123.490 124.105 124.240 124.422 124.617 124.711 124.785
 41421.854 124.032 123.788 123.548 123.450 123.487 124.085 124.218 124.397 124.587 124.680 124.753
 41421.875 124.014 123.777 123.543 123.450 123.485 124.067 124.197 124.374 124.562 124.653 124.724
 41421.896 124.001 123.768 123.540 123.450 123.484 124.054 124.183 124.358 124.544 124.635 124.706
 41421.917 123.996 123.765 123.539 123.450 123.483 124.048 124.177 124.353 124.538 124.629 124.700
 41421.937 123.998 123.767 123.540 123.450 123.483 124.050 124.180 124.356 124.543 124.635 124.706
 41421.958 124.005 123.772 123.542 123.450 123.484 124.058 124.188 124.366 124.554 124.647 124.719
 41421.979 124.014 123.778 123.545 123.450 123.486 124.067 124.198 124.377 124.567 124.660 124.733
 41422.000 124.021 123.782 123.547 123.450 123.487 124.074 124.206 124.385 124.576 124.669 124.742
 41422.021 124.024 123.784 123.547 123.450 123.487 124.077 124.209 124.389 124.579 124.672 124.745
 41422.042 124.023 123.784 123.547 123.450 123.487 124.076 124.208 124.387 124.578 124.671 124.743
 41422.062 124.020 123.782 123.546 123.450 123.486 124.073 124.205 124.384 124.573 124.666 124.738
 41422.083 124.016 123.779 123.545 123.450 123.486 124.069 124.200 124.378 124.567 124.660 124.732
 41422.104 124.014 123.777 123.544 123.450 123.485 124.066 124.197 124.376 124.564 124.657 124.729
 41422.125 124.016 123.778 123.544 123.450 123.486 124.069 124.201 124.380 124.570 124.664 124.737
 41422.146 124.023 123.783 123.547 123.450 123.487 124.077 124.209 124.390 124.582 124.676 124.749
 41422.167 124.030 123.788 123.549 123.450 123.488 124.083 124.216 124.397 124.589 124.684 124.757
 41422.187 124.031 123.789 123.549 123.450 123.488 124.085 124.218 124.398 124.590 124.684 124.757
 41422.208 124.029 123.787 123.548 123.450 123.487 124.082 124.215 124.395 124.586 124.680 124.752
 41422.229 124.023 123.784 123.547 123.450 123.487 124.076 124.208 124.387 124.576 124.669 124.741
 41422.250 124.012 123.776 123.544 123.450 123.485 124.064 124.194 124.370 124.556 124.646 124.717
 41422.271 123.995 123.765 123.540 123.450 123.483 124.046 124.174 124.347 124.530 124.619 124.688
 41422.292 123.979 123.755 123.535 123.450 123.481 124.030 124.156 124.328 124.508 124.597 124.665
 41422.312 123.969 123.748 123.533 123.450 123.480 124.020 124.144 124.315 124.494 124.582 124.651
 41422.333 123.964 123.745 123.533 123.450 123.480 124.014 124.138 124.308 124.487 124.574 124.642
 41422.354 123.962 123.744 123.532 123.450 123.480 124.012 124.135 124.306 124.484 124.571 124.639
 41422.375 123.964 123.745 123.533 123.450 123.480 124.013 124.138 124.308 124.487 124.576 124.644
 41422.396 123.970 123.749 123.534 123.450 123.481 124.020 124.145 124.317 124.498 124.587 124.656
 41422.417 123.979 123.756 123.537 123.450 123.482 124.030 124.156 124.330 124.513 124.603 124.673
 41422.437 123.990 123.763 123.540 123.450 123.483 124.042 124.170 124.345 124.530 124.621 124.692
 41422.458 124.002 123.771 123.542 123.450 123.484 124.054 124.184 124.361 124.549 124.641 124.713
 41422.479 124.015 123.778 123.545 123.450 123.486 124.068 124.199 124.378 124.569 124.662 124.735
 41422.500 124.027 123.787 123.548 123.450 123.487 124.081 124.214 124.396 124.588 124.683 124.757
 41422.521 124.038 123.794 123.551 123.450 123.489 124.092 124.227 124.409 124.604 124.699 124.773
 41422.542 124.044 123.797 123.552 123.450 123.489 124.098 124.233 124.415 124.610 124.705 124.779
 41422.562 124.043 123.797 123.552 123.450 123.489 124.097 124.232 124.414 124.607 124.702 124.776
 41422.583 124.038 123.793 123.550 123.450 123.489 124.092 124.226 124.407 124.600 124.694 124.768
 41422.604 124.031 123.789 123.548 123.450 123.488 124.085 124.218 124.398 124.590 124.683 124.756
 41422.625 124.024 123.784 123.546 123.450 123.487 124.077 124.209 124.388 124.578 124.671 124.743
 41422.646 124.018 123.780 123.545 123.450 123.486 124.071 124.202 124.381 124.570 124.663 124.735
 41422.667 124.016 123.779 123.544 123.450 123.486 124.069 124.201 124.380 124.570 124.663 124.736
 41422.687 124.021 123.781 123.546 123.450 123.486 124.074 124.206 124.386 124.578 124.672 124.745
 41422.708 124.029 123.787 123.548 123.450 123.487 124.082 124.216 124.397 124.590 124.685 124.759
 41422.729 124.037 123.793 123.550 123.450 123.488 124.092 124.226 124.408 124.603 124.698 124.773
 41422.750 124.043 123.797 123.552 123.450 123.489 124.098 124.232 124.415 124.610 124.705 124.780
 41422.771 124.045 123.798 123.552 123.450 123.489 124.099 124.234 124.417 124.611 124.707 124.781
 41422.792 124.044 123.797 123.552 123.450 123.489 124.098 124.233 124.416 124.610 124.706 124.780
 41422.812 124.043 123.796 123.551 123.450 123.489 124.097 124.232 124.415 124.610 124.705 124.779
 41422.833 124.043 123.796 123.551 123.450 123.489 124.097 124.232 124.415 124.609 124.705 124.779
 41422.854 124.043 123.796 123.551 123.450 123.489 124.098 124.232 124.415 124.610 124.706 124.780
 41422.875 124.044 123.797 123.552 123.450 123.489 124.099 124.234 124.418 124.613 124.709 124.783
 41422.896 124.047 123.799 123.552 123.450 123.489 124.102 124.237 124.421 124.617 124.713 124.788
 41422.917 124.050 123.801 123.553 123.450 123.490 124.105 124.240 124.424 124.621 124.717 124.792
 41422.937 124.052 123.802 123.554 123.450 123.490 124.107 124.243 124.427 124.624 124.720 124.795
 41422.958 124.053 123.803 123.554 123.450 123.490 124.108 124.244 124.429 124.626 124.722 124.797
 41422.979 124.054 123.804 123.554 123.450 123.490 124.109 124.246 124.430 124.627 124.724 124.799
 41423.000 124.055 123.804 123.554 123.450 123.490 124.111 124.247 124.432 124.630 124.727 124.802
 41423.021 124.058 123.806 123.555 123.450 123.491 124.113 124.250 124.436 124.634 124.731 124.807
 41423.042 124.062 123.809 123.556 123.450 123.491 124.118 124.255 124.441 124.641 124.738 124.815
 41423.062 124.067 123.812 123.557 123.450 123.492 124.123 124.262 124.449 124.650 124.748 124.824
 41423.083 124.074 123.816 123.559 123.450 123.493 124.130 124.269 124.458 124.659 124.758 124.836
 41423.104 124.080 123.821 123.561 123.450 123.494 124.137 124.277 124.466 124.669 124.769 124.847
 41423.125 124.086 123.825 123.562 123.450 123.494 124.143 124.284 124.474 124.678 124.778 124.856
 41423.146 124.091 123.828 123.563 123.450 123.495 124.148 124.289 124.480 124.685 124.785 124.863
 41423.167 124.094 123.830 123.564 123.450 123.496 124.152 124.294 124.485 124.690 124.791 124.870
 41423.187 124.097 123.832 123.565 123.450 123.496 124.155 124.297 124.489 124.695 124.796 124.875
 41423.208 124.100 123.834 123.566 123.450 123.496 124.158 124.301 124.492 124.699 124.800 124.879
 41423.229 124.102 123.835 123.566 123.450 123.497 124.160 124.303 124.495 124.702 124.804 124.883
 41423.250 124.103 123.836 123.567 123.450 123.497 124.161 124.304 124.496 124.703 124.804 124.883
 41423.271 124.101 123.835 123.566 123.450 123.497 124.159 124.301 124.492 124.699 124.799 124.878
 41423.292 124.096 123.831 123.565 123.450 123.496 124.153 124.295 124.485 124.689 124.789 124.867
 41423.312 124.087 123.825 123.562 123.450 123.495 124.144 124.284 124.473 124.676 124.774 124.851
 41423.333 124.076 123.818 123.559 123.450 123.493 124.132 124.271 124.457 124.657 124.755 124.831
 41423.354 124.064 123.810 123.556 123.450 123.492 124.119 124.257 124.442 124.640 124.736 124.811
 41423.375 124.056 123.804 123.553 123.450 123.490 124.111 124.247 124.432 124.630 124.726 124.801
 41423.396 124.055 123.803 123.553 123.450 123.490 124.110 124.247 124.432 124.630 124.727 124.803
 41423.417 124.059 123.806 123.555 123.450 123.491 124.114 124.252 124.438 124.637 124.734 124.810
 41423.437 124.065 123.811 123.557 123.450 123.492 124.121 124.259 124.446 124.646 124.744 124.820
 41423.458 124.071 123.814 123.558 123.450 123.492 124.127 124.265 124.453 124.654 124.752 124.829
 41423.479 124.075 123.818 123.560 123.450 123.493 124.131 124.271 124.459 124.661 124.760 124.837
 41423.500 124.079 123.820 123.560 123.450 123.494 124.136 124.276 124.464 124.667 124.766 124.844
 41423.521 124.083 123.823 123.561 123.450 123.494 124.140 124.280 124.470 124.673 124.773 124.851
 41423.542 124.087 123.825 123.562 123.450 123.495 124.144 124.285 124.475 124.680 124.780 124.858
 41423.562 124.091 123.828 123.564 123.450 123.495 124.149 124.290 124.481 124.686 124.787 124.865
 41423.583 124.096 123.831 123.565 123.450 123.496 124.153 124.296 124.487 124.694 124.794 124.873
 41423.604 124.100 123.834 123.566 123.450 123.496 124.158 124.300 124.492 124.699 124.800 124.880
 41423.625 124.102 123.836 123.567 123.450 123.497 124.160 124.303 124.495 124.702 124.803 124.882
 41423.646 124.103 123.836 123.567 123.450 123.497 124.161 124.304 124.496 124.703 124.804 124.884
 41423.667 124.104 123.836 123.567 123.450 123.497 124.161 124.305 124.497 124.705 124.806 124.885
 41423.687 124.105 123.837 123.567 123.450 123.497 124.163 124.307 124.500 124.708 124.809 124.889
 41423.708 124.109 123.839 123.568 123.450 123.497 124.167 124.311 124.504 124.713 124.816 124.896
 41423.729 124.115 123.844 123.570 123.450 123.498 124.174 124.320 124.515 124.726 124.829 124.910
 41423.750 124.129 123.853 123.573 123.450 123.500 124.188 124.336 124.534 124.749 124.855 124.937
 41423.771 124.147 123.865 123.579 123.450 123.503 124.207 124.358 124.558 124.777 124.884 124.968
 41423.792 124.163 123.877 123.584 123.450 123.505 124.224 124.376 124.578 124.799 124.907 124.992
 41423.812 124.172 123.883 123.587 123.450 123.507 124.233 124.386 124.589 124.811 124.919 125.004
 41423.833 124.174 123.885 123.587 123.450 123.508 124.235 124.388 124.591 124.813 124.920 125.005
 41423.854 124.169 123.881 123.586 123.450 123.507 124.230 124.381 124.582 124.802 124.909 124.992
 41423.875 124.157 123.872 123.582 123.450 123.505 124.217 124.366 124.565 124.782 124.887 124.969
 41423.896 124.144 123.863 123.577 123.450 123.503 124.203 124.352 124.549 124.764 124.869 124.951
 41423.917 124.138 123.858 123.575 123.450 123.501 124.197 124.346 124.543 124.758 124.863 124.945
 41423.937 124.137 123.858 123.575 123.450 123.501 124.197 124.345 124.543 124.758 124.863 124.945
 41423.958 124.139 123.860 123.576 123.450 123.502 124.198 124.347 124.544 124.759 124.864 124.947
 41423.979 124.143 123.862 123.577 123.450 123.502 124.203 124.352 124.551 124.768 124.874 124.957
 41424.000 124.154 123.870 123.580 123.450 123.504 124.215 124.366 124.568 124.788 124.896 124.981
 41424.021 124.172 123.882 123.586 123.450 123.506 124.234 124.388 124.593 124.818 124.927 125.014
 41424.042 124.191 123.896 123.592 123.450 123.510 124.254 124.410 124.618 124.846 124.957 125.045
 41424.062 124.207 123.907 123.597 123.450 123.512 124.270 124.428 124.639 124.869 124.982 125.070
 41424.083 124.219 123.916 123.601 123.450 123.514 124.283 124.443 124.655 124.888 125.002 125.091
 41424.104 124.229 123.922 123.604 123.450 123.516 124.293 124.454 124.668 124.903 125.017 125.107
 41424.125 124.235 123.927 123.606 123.450 123.517 124.300 124.461 124.677 124.913 125.027 125.117
 41424.146 124.238 123.929 123.607 123.450 123.518 124.303 124.465 124.681 124.917 125.031 125.122
 41424.167 124.240 123.930 123.607 123.450 123.518 124.305 124.467 124.684 124.921 125.035 125.126
 41424.187 124.243 123.932 123.608 123.450 123.519 124.308 124.471 124.688 124.926 125.041 125.132
 41424.208 124.247 123.935 123.609 123.450 123.519 124.312 124.476 124.694 124.933 125.048 125.140
 41424.229 124.253 123.939 123.611 123.450 123.520 124.318 124.482 124.702 124.942 125.059 125.151
 41424.250 124.260 123.945 123.614 123.450 123.522 124.326 124.492 124.713 124.955 125.073 125.166
 41424.271 124.269 123.951 123.617 123.450 123.523 124.335 124.501 124.725 124.968 125.086 125.180
 41424.292 124.274 123.955 123.619 123.450 123.525 124.341 124.508 124.732 124.976 125.094 125.188
 41424.312 124.276 123.956 123.620 123.450 123.525 124.342 124.509 124.733 124.977 125.095 125.189
 41424.333 124.274 123.955 123.619 123.450 123.525 124.340 124.506 124.730 124.973 125.091 125.184
 41424.354 124.269 123.951 123.618 123.450 123.524 124.335 124.500 124.722 124.964 125.081 125.173
 41424.375 124.260 123.945 123.615 123.450 123.523 124.326 124.490 124.710 124.950 125.066 125.157
 41424.396 124.250 123.938 123.611 123.450 123.521 124.315 124.479 124.696 124.934 125.049 125.139
 41424.417 124.241 123.931 123.608 123.450 123.519 124.305 124.467 124.683 124.919 125.033 125.123
 41424.437 124.234 123.925 123.605 123.450 123.517 124.298 124.459 124.674 124.908 125.022 125.112
 41424.458 124.229 123.922 123.603 123.450 123.516 124.293 124.454 124.668 124.902 125.015 125.105
 41424.479 124.228 123.921 123.603 123.450 123.516 124.292 124.453 124.667 124.902 125.015 125.105
 41424.500 124.231 123.923 123.604 123.450 123.516 124.295 124.457 124.672 124.907 125.021 125.111
 41424.521 124.236 123.927 123.606 123.450 123.517 124.300 124.462 124.678 124.915 125.029 125.120
 41424.542 124.239 123.930 123.607 123.450 123.518 124.304 124.466 124.682 124.919 125.033 125.124
 41424.562 124.240 123.930 123.608 123.450 123.518 124.304 124.466 124.682 124.918 125.032 125.123
 41424.583 124.237 123.928 123.607 123.450 123.518 124.301 124.463 124.678 124.914 125.028 125.118
