"TXLS","QGAM","QKRA","QWEH","QMIN","D-E"
41411.375,1562.37,1500,62.37,15,47.37
41411.396,1594.22,1500,94.22,15,79.22
41411.417,1612.27,1500,112.27,15,97.27
41411.437,1623.52,1500,123.52,15,108.52
41411.458,1626.97,1500,126.97,15,111.97
41411.479,1623.25,1500,123.25,15,108.25
41411.5,1615.19,1500,115.19,15,100.19
41411.521,1608.45,1500,108.45,15,93.45
41411.542,1607.01,1500,107.01,15,92.01
41411.562,1605.85,1500,105.85,15,90.85
41411.583,1603.74,1500,103.74,15,88.74
41411.604,1601.72,1500,101.72,15,86.72
41411.625,1607.84,1500,107.84,15,92.84
41411.646,1614.93,1500,114.93,15,99.93
41411.667,1608.23,1500,108.23,15,93.23
41411.687,1592.16,1500,92.16,15,77.16
41411.708,1574.73,1500,74.73,15,59.73
41411.729,1560.15,1500,60.15,15,45.15
41411.75,1547.61,1500,47.61,15,32.61
41411.771,1543.91,1500,43.91,15,28.91
41411.792,1552.6,1500,52.6,15,37.6
41411.812,1563.89,1500,63.89,15,48.89
41411.833,1572.49,1500,72.49,15,57.49
41411.854,1580.83,1500,80.83,15,65.83
41411.875,1584.24,1500,84.24,15,69.24
41411.896,1580.28,1500,80.28,15,65.28
41411.917,1575.83,1500,75.83,15,60.83
41411.937,1571.1,1500,71.1,15,56.1
41411.958,1566.53,1500,66.53,15,51.53
41411.979,1562.68,1500,62.68,15,47.68
41412,1569.66,1500,69.66,15,54.66
41412.021,1583.84,1500,83.84,15,68.84
41412.042,1591.26,1500,91.26,15,76.26
41412.062,1594.27,1500,94.27,15,79.27
41412.083,1594.16,1500,94.16,15,79.16
41412.104,1592.37,1500,92.37,15,77.37
41412.125,1589.22,1500,89.22,15,74.22
41412.146,1586.11,1500,86.11,15,71.11
41412.167,1583.27,1500,83.27,15,68.27
41412.187,1579.9,1500,79.9,15,64.9
41412.208,1577.24,1500,77.24,15,62.24
41412.229,1574.92,1500,74.92,15,59.92
41412.25,1568.91,1500,68.91,15,53.91
41412.271,1559.88,1500,59.88,15,44.88
41412.292,1550.78,1500,50.78,15,35.78
41412.312,1541.13,1500,41.13,15,26.13
41412.333,1531.7,1500,31.7,15,16.7
41412.354,1522.41,1500,22.41,15,7.4100000000001
41412.375,1510.41,1495.41,15,15,-4.5899999999999
41412.396,1503.53,1488.53,15,15,-11.47
41412.417,1509.3,1494.3,15,15,-5.7
41412.437,1518.42,1500,18.42,15,3.4200000000001
41412.458,1525.19,1500,25.19,15,10.19
41412.479,1531.29,1500,31.29,15,16.29
41412.5,1545.08,1500,45.08,15,30.08
41412.521,1560.99,1500,60.99,15,45.99
41412.542,1568.18,1500,68.18,15,53.18
41412.562,1570.71,1500,70.71,15,55.71
41412.583,1571.87,1500,71.87,15,56.87
41412.604,1573.21,1500,73.21,15,58.21
41412.625,1580.6,1500,80.6,15,65.6
41412.646,1591.66,1500,91.66,15,76.66
41412.667,1598.9,1500,98.9,15,83.9
41412.687,1601.04,1500,101.04,15,86.04
41412.708,1598.86,1500,98.86,15,83.86
41412.729,1597.06,1500,97.06,15,82.06
