"IAB","ITYPE","WIDTH","HEIT","ZTR","ZTL","XL","ZO","RNI","DZERO","HZERO","QZERO","ZS","CKS","HR0","HR1","RNV1","HR2","RNV2","HR3","RNV3","HR4","RNV4","HR5","RNV5","HR6","RNV6","HR7","RNV7","SF","X","Y","ID","ZSHIFT"                                                                                     
1182,4,0.00,15.41,0.00,0.00,30293.0,115.88,0.0275,9.281,125.161,218.160,15.21,0.000,0.000,413.107,0.0270,415.568,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000555,3420818.77,5395196.59,96187,0.00
1181,4,0.00,13.78,0.00,0.00,30193.0,117.47,0.0309,7.691,125.161,218.160,13.65,0.000,0.000,413.107,0.0270,415.568,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000741,3420882.93,5395273.30,96187,0.00
1180,4,0.00,11.84,0.00,0.00,30093.0,119.15,0.0357,6.010,125.160,218.160,11.70,0.000,0.000,413.104,0.0270,415.565,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00001706,3420947.09,5395350.00,96187,0.00
1179,4,0.00,10.85,0.00,0.00,29992.0,120.20,0.0342,4.959,125.159,218.160,7.60,0.000,0.000,413.101,0.0270,415.562,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00001707,3421011.82,5395427.53,96187,0.00
1178,4,0.00,10.70,0.00,0.00,29896.0,120.14,0.0319,5.016,125.156,218.160,7.48,0.000,0.000,413.091,0.0270,415.552,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00002040,3421073.35,5395501.22,96187,0.00
1177,4,0.00,10.28,0.00,0.00,29796.0,120.39,0.0288,4.765,125.155,218.160,7.05,0.000,0.000,413.088,0.0270,415.548,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00001330,3421137.45,5395577.98,96187,0.00
1176,4,0.00,10.02,0.00,0.00,29696.0,120.59,0.0297,4.563,125.153,218.160,6.48,0.000,0.000,413.081,0.0270,415.542,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00001654,3421201.54,5395654.74,96187,0.00
1175,4,0.00,9.79,0.00,0.00,29595.0,120.73,0.0301,4.422,125.152,218.160,6.27,0.000,0.000,413.078,0.0270,415.539,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00001650,3421266.27,5395732.27,96187,0.00
1174,4,0.00,10.05,0.00,0.00,29494.0,120.30,0.0292,4.850,125.150,218.160,6.56,0.000,0.000,413.071,0.0270,415.532,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00001642,3421331.00,5395809.79,96187,0.00
1173,4,0.00,9.81,0.00,0.00,29393.0,120.44,0.0291,4.708,125.148,218.160,6.71,0.000,0.000,413.065,0.0270,415.525,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00001666,3421395.95,5395887.15,96187,0.00
1172,4,0.00,9.92,0.00,0.00,29290.0,120.35,0.0285,4.797,125.147,218.160,6.89,0.000,0.000,413.061,0.0270,415.522,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00001341,3421462.47,5395965.78,96187,0.00
1171,4,0.00,9.90,0.00,0.00,29192.0,120.33,0.0296,4.815,125.145,218.160,6.83,0.000,0.000,413.055,0.0270,415.516,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00001349,3421525.77,5396040.60,96187,0.00
1170,4,0.00,9.66,0.00,0.00,29092.0,120.48,0.0289,4.664,125.144,218.160,6.81,0.000,0.000,413.052,0.0270,415.512,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00001334,3421590.36,5396116.94,96187,0.00
1169,4,0.00,9.72,0.00,0.00,28992.0,120.22,0.0306,4.923,125.143,218.160,6.80,0.000,0.000,413.048,0.0270,415.509,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00001499,3421654.95,5396193.29,96187,0.00
1168,4,0.00,9.99,0.00,0.00,28892.0,119.98,0.0462,5.162,125.142,218.160,7.18,0.000,0.000,413.042,0.0270,415.503,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00016045,3421719.45,5396269.70,96187,0.00
1167,4,0.00,13.17,0.00,0.00,28776.0,116.71,0.0563,8.433,125.143,218.160,12.66,0.000,0.000,413.048,0.0270,415.509,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00036235,3421793.69,5396358.83,96187,0.00
1166,4,0.00,13.62,0.00,0.00,28677.0,116.28,0.0378,8.816,125.096,1718.160,12.97,0.000,0.000,412.894,0.0270,415.355,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00030619,3421857.11,5396434.85,96187,0.00
1165,4,0.00,12.16,0.00,0.00,28577.0,117.67,0.0323,7.401,125.071,1718.159,11.55,0.000,0.000,412.812,0.0270,415.273,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00021743,3421921.18,5396511.63,96187,0.00
1164,4,0.00,12.37,0.00,0.00,28479.0,117.28,0.0317,7.772,125.052,1718.160,11.99,0.000,0.000,412.750,0.0270,415.211,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00020352,3421983.96,5396586.88,96187,0.00
1163,4,0.00,11.43,0.00,0.00,28383.0,118.18,0.0316,6.852,125.032,1718.160,11.03,0.000,0.000,412.684,0.0270,415.145,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00020983,3422045.42,5396660.63,96187,0.00
1162,4,0.00,11.65,0.00,0.00,28287.0,117.97,0.0310,7.042,125.012,1718.160,11.19,0.000,0.000,412.619,0.0270,415.079,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00019820,3422106.85,5396734.40,96187,0.00
1161,4,0.00,11.08,0.00,0.00,28193.0,118.38,0.0286,6.612,124.992,1718.160,10.67,0.000,0.000,412.553,0.0270,415.014,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00014209,3422167.01,5396806.63,96187,0.00
1160,4,0.00,11.45,0.00,0.00,28095.0,117.93,0.0278,7.045,124.975,1718.160,11.21,0.000,0.000,412.497,0.0270,414.958,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00012778,3422229.73,5396881.93,96187,0.00
1159,4,0.00,12.20,0.00,0.00,27995.0,117.19,0.0277,7.781,124.971,1718.160,11.90,0.000,0.000,412.484,0.0270,414.945,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00010490,3422293.73,5396958.77,96187,0.00
1158,4,0.00,11.59,0.00,0.00,27895.0,117.70,0.0297,7.261,124.961,1718.160,11.39,0.000,0.000,412.428,0.0270,414.889,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00015342,3422358.41,5397035.03,96187,0.00
