"ZEIT[H]" "K1101" "K1077" "K1013" "K 936" "K 971" "K1107" "K5117" "K1134" "K1146" "K1153" "K1157" "K1166" "K1190"
 41408.437 1642.27 1643.31 1644.76  852.81 1645.18 1641.94 1641.32 1640.25 1639.37 1638.81 1638.46 1637.53  133.00
 41408.458 1636.57 1637.56 1639.00  847.07 1639.43 1636.26 1635.69 1634.69 1633.88 1633.35 1633.03 1632.16  127.94
 41408.479 1630.65 1631.82 1633.51  841.65 1634.00 1630.28 1629.58 1628.36 1627.34 1626.68 1626.27 1625.15  119.63
 41408.500 1623.16 1624.73 1627.05  835.46 1627.75 1622.67 1621.76 1620.16 1618.84 1617.98 1617.44 1616.00  108.87
 41408.521 1614.98 1616.58 1619.09  827.64 1619.90 1614.49 1613.61 1612.10 1610.91 1610.15 1609.69 1608.45  102.53
 41408.542 1608.54 1609.63 1611.31  819.52 1611.84 1608.21 1607.62 1606.64 1605.89 1605.42 1605.14 1604.41  101.00
 41408.562 1604.36 1604.97 1605.75  813.54 1605.96 1604.17 1603.81 1603.20 1602.72 1602.41 1602.22 1601.73   99.38
 41408.583 1601.23 1601.70 1602.28  809.97 1602.43 1601.08 1600.79 1600.27 1599.85 1599.57 1599.40 1598.94   96.70
 41408.604 1599.35 1599.54 1599.86  807.52 1599.98 1599.30 1599.21 1599.09 1599.03 1599.00 1598.99 1598.97   98.99
 41408.625 1601.18 1600.46 1599.49  806.67 1599.23 1601.41 1601.87 1602.74 1603.51 1604.03 1604.36 1605.29  110.08
 41408.646 1607.48 1605.89 1603.39  809.91 1602.62 1607.97 1608.87 1610.45 1611.75 1612.59 1613.11 1614.53  121.54
 41408.667 1615.31 1613.65 1610.97  817.37 1610.12 1615.81 1616.70 1618.21 1619.39 1620.13 1620.59 1621.80  127.59
 41408.687 1621.86 1620.70 1618.91  825.68 1618.36 1622.21 1622.85 1623.92 1624.75 1625.27 1625.59 1626.42  130.37
 41408.708 1626.51 1625.82 1624.87  831.99 1624.59 1626.73 1627.12 1627.80 1628.33 1628.67 1628.88 1629.42  131.99
 41408.729 1629.76 1629.30 1628.70  835.97 1628.53 1629.91 1630.19 1630.68 1631.07 1631.33 1631.49 1631.91  133.95
 41408.750 1632.71 1632.18 1631.47  838.69 1631.25 1632.88 1633.20 1633.78 1634.26 1634.58 1634.78 1635.32  138.00
 41408.771 1636.82 1635.93 1634.63  841.63 1634.24 1637.11 1637.64 1638.61 1639.41 1639.95 1640.28 1641.19  145.76
 41408.792 1643.21 1641.78 1639.62  846.27 1638.96 1643.66 1644.49 1645.96 1647.17 1647.96 1648.46 1649.80  156.51
 41408.812 1651.90 1650.03 1647.14  853.49 1646.26 1652.48 1653.54 1655.39 1656.90 1657.87 1658.48 1660.11  168.24
 41408.833 1662.10 1660.01 1656.78  862.98 1655.79 1662.74 1663.92 1665.96 1667.61 1668.67 1669.33 1671.09  179.83
 41408.854 1672.43 1670.48 1667.41  873.65 1666.44 1673.03 1674.11 1675.97 1677.44 1678.38 1678.96 1680.50  188.04
 41408.875 1680.61 1679.28 1677.15  883.75 1676.46 1681.01 1681.73 1682.92 1683.83 1684.40 1684.74 1685.64  189.85
 41408.896 1685.15 1684.62 1683.84  891.00 1683.60 1685.31 1685.61 1686.08 1686.42 1686.63 1686.76 1687.07  188.43
 41408.917 1686.81 1686.77 1686.86  894.40 1686.90 1686.83 1686.87 1686.94 1687.00 1687.03 1687.05 1687.09  187.24
 41408.937 1687.14 1687.22 1687.46  895.07 1687.55 1687.12 1687.09 1687.05 1687.03 1687.02 1687.01 1686.99  186.90
 41408.958 1687.20 1687.22 1687.29  894.82 1687.31 1687.19 1687.19 1687.20 1687.22 1687.23 1687.24 1687.27  187.45
 41408.979 1688.30 1687.97 1687.53  894.87 1687.40 1688.41 1688.63 1689.04 1689.40 1689.65 1689.81 1690.25  192.58
 41409.000 1692.23 1691.22 1689.70  896.62 1689.24 1692.55 1693.15 1694.23 1695.14 1695.74 1696.12 1697.16  202.54
 41409.021 1698.16 1696.89 1694.75  901.35 1694.06 1698.54 1699.21 1700.36 1701.26 1701.83 1702.19 1703.12  207.72
 41409.042 1702.33 1701.69 1700.50  907.45 1700.08 1702.51 1702.81 1703.26 1703.57 1703.74 1703.84 1704.07  204.95
 41409.062 1702.61 1702.89 1703.34  910.99 1703.46 1702.52 1702.34 1702.00 1701.68 1701.46 1701.32 1700.92  198.68
 41409.083 1699.28 1700.28 1701.91  910.08 1702.43 1698.99 1698.43 1697.45 1696.64 1696.11 1695.77 1694.86  190.19
 41409.104 1692.03 1693.83 1696.60  905.19 1697.44 1691.47 1690.43 1688.58 1687.03 1686.01 1685.38 1683.64  174.77
 41409.125 1680.16 1682.84 1687.00  896.17 1688.30 1679.34 1677.83 1675.16 1672.98 1671.56 1670.68 1668.29  156.29
